PERMNO,HdrCUSIP,CUSIP,CUSIP9,PrimaryExch,SecurityNm,SecurityType,SecuritySubType,ShareType,Ticker,TradingSymbol,PERMCO,SICCD,NAICS,IssuerNm,YYYYMMDD,DlyCalDt,DlyDelFlg,DlyPrc,DlyCap,DlyRet,DlyRetx,DlyRetI,DlyFacPrc,DlyVol,DlyClose,DlyLow,DlyHigh,DlyBid,DlyAsk,DlyOpen,DlyNumTrd,ShrStartDt,ShrEndDt,ShrOut,DisExDt,DisDivAmt,DisFacPr,DisFacShr,sprtrn
10104,68389X10,68389X10,68389X105,Q,ORACLE CORP; COM NONE; CONS,EQTY,COM,NS,ORCL,ORCL,8045,7370,511210,ORACLE CORP,20121212,12/12/2012,N,31.94,151651120.0,-0.006803,-0.012369,0.005566,1.0,20115749.0,31.94,31.83,32.38,31.94,31.95,32.21,77978.0,30/11/2012,13/12/2012,4748000,12/12/2012,0.06,0.0,0.0,0.000448
10104,68389X10,68389X10,68389X105,Q,ORACLE CORP; COM NONE; CONS,EQTY,COM,NS,ORCL,ORCL,8045,7370,511210,ORACLE CORP,20121212,12/12/2012,N,31.94,151651120.0,-0.006803,-0.012369,0.005566,1.0,20115749.0,31.94,31.83,32.38,31.94,31.95,32.21,77978.0,30/11/2012,13/12/2012,4748000,12/12/2012,0.06,0.0,0.0,0.000448
10107,59491810,59491810,594918104,Q,MICROSOFT CORP; COM NONE; CONS,EQTY,COM,NS,MSFT,MSFT,8048,7370,511210,MICROSOFT CORP,20041115,15/11/2004,N,27.39,297772850.1,0.016683,-0.086086,0.102769,1.0,109942050.0,27.39,27.2,27.5,27.37,27.38,27.36,123467.0,29/10/2004,15/11/2004,10871590,15/11/2004,3.0,0.0,0.0,-0.000304
59328,45814010,45814010,458140100,Q,INTEL CORP; COM NONE; CONS,EQTY,COM,NS,INTC,INTC,2367,3679,0,INTEL CORP,19940726,26/7/1994,N,57.3125,23652868.75,-0.007524,-0.008649,0.001124,1.0,2107803.0,57.3125,57.0,58.25,57.25,57.5,57.75,1141.0,1/7/1994,29/9/1994,412700,26/7/1994,0.005,0.0,0.0,-0.001959
69032,61744644,61744644,617446448,N,MORGAN STANLEY DEAN WITTER & CO; COM NONE; CONS,EQTY,COM,NS,MS,MS,21224,6712,551111,MORGAN STANLEY DEAN WITTER & CO,20090428,28/4/2009,N,21.08,22812776.0,-0.005331,-0.008467,0.003136,1.0,27676500.0,21.08,20.69,21.78,21.08,21.11,20.87,,31/3/2009,29/4/2009,1082200,28/4/2009,0.016667,0.0,0.0,-0.002741
70519,17296742,17296710,172967101,N,CITIGROUP INC; COM NONE; CONS,EQTY,COM,NS,C,C,20483,6021,0,CITIGROUP INC,20020821,21/8/2002,N,34.35,176745142.7,0.02331,0.02331,0.0,1.066208,19100000.0,34.35,33.01,34.51,34.3,34.37,34.35,,31/7/2002,29/8/2002,5145419,21/8/2002,1.561387,0.045455,0.0,0.012726
84398,78462F10,78462F10,78462F103,A,SPDR TRUST; ETFNONE; CONS,FUND,ETF,NS,SPY,,46699,6726,0,SPDR TRUST,19961220,20/12/1996,N,74.84375,688562.5,0.002714,-0.001108,0.003822,1.0,1543200.0,74.84375,74.75,75.71875,74.84375,74.96875,75.125,,29/11/1996,30/12/1996,9200,20/12/1996,0.12,0.0,0.0,0.00417
88222,46428765,46428765,464287655,A,ISHARES TRUST; ETFNONE; CONS,FUND,ETF,NS,IWM,,37493,6726,0,ISHARES TRUST,20001213,13/12/2000,N,93.23438,209777.36,-0.018544,-0.021359,0.002814,1.0,262700.0,93.23438,93.1875,95.78125,92.75,93.5,95.78125,,30/11/2000,28/12/2000,2250,13/12/2000,0.16471,0.0,0.0,-0.008161
88222,46428765,46428765,464287655,A,ISHARES TRUST; ETFNONE; CONS,FUND,ETF,NS,IWM,IWM,37493,6726,0,ISHARES TRUST,20030307,7/3/2003,N,70.45,1845790.0,0.002698,0.000426,0.002272,1.0,1406600.0,70.45,69.52,70.84,70.44,70.6,69.75,,28/2/2003,30/3/2003,26200,7/3/2003,0.0106,0.0,0.0,0.008259
88222,46428765,46428765,464287655,A,ISHARES TRUST; ETFNONE; CONS,FUND,ETF,NS,IWM,IWM,37493,6726,0,ISHARES TRUST,20030613,13/6/2003,N,89.64,2855034.0,-0.017727,-0.019363,0.001637,1.0,1448200.0,89.64,89.57,91.39,89.83,89.9,91.35,,30/5/2003,29/6/2003,31850,13/6/2003,0.0106,0.0,0.0,-0.009915
88222,46428765,46428765,464287655,A,ISHARES TRUST; ETFNONE; CONS,FUND,ETF,NS,IWM,IWM,37493,6726,0,ISHARES TRUST,20030912,12/9/2003,N,101.41,3280613.5,0.004418,0.002075,0.002343,1.0,2546000.0,101.41,99.8,101.8,101.47,101.54,100.71,,29/8/2003,29/9/2003,32350,12/9/2003,0.0106,0.0,0.0,0.002174
88222,46428765,46428765,464287655,A,ISHARES TRUST; ETFNONE; CONS,FUND,ETF,NS,IWM,IWM,37493,6726,0,ISHARES TRUST,20031212,12/12/2003,N,108.96,4042416.0,0.007136,0.003685,0.003452,1.0,4231300.0,108.96,107.54,108.96,108.91,108.96,108.362,,28/11/2003,30/12/2003,37100,12/12/2003,0.0106,0.0,0.0,0.002735
