check,value,status
raw_rows,238,INFO
raw_columns,20,INFO
clean_rows,238,INFO
clean_columns,20,INFO
exact_duplicate_rows_removed,0,INFO
remaining_exact_duplicates,0,PASS
missing_permno,0,PASS
invalid_permno,0,PASS
missing_permco,0,INFO
invalid_permco,0,PASS
unique_permnos,38,INFO
unique_permcos,37,INFO
permnos_multiple_permco,0,PASS
permnos_multiple_ticker,6,INFO
secinfostartdt_invalid,0,PASS
secinfoenddt_invalid,0,PASS
securitybegdt_invalid,0,PASS
securityenddt_invalid,0,PASS
invalid_secinfo_interval,0,PASS
invalid_security_interval,0,PASS
overlapping_security_info_intervals,0,PASS
rows_with_quality_flags,0,INFO
