PERMNO,observations,SecurityType_nunique,SecurityType_values,SecuritySubType_nunique,SecuritySubType_values,ShareType_nunique,ShareType_values,PrimaryExch_nunique,PrimaryExch_values
10104,6547,1,EQTY,1,COM,1,NS,2,N|Q
10107,6547,1,EQTY,1,COM,1,NS,1,Q
11260,1483,1,EQTY,1,COM,1,NS,1,N
11308,6547,1,EQTY,1,COM,1,NS,1,N
11850,4801,1,EQTY,1,COM,1,NS,1,N
12060,6547,1,EQTY,1,COM,1,NS,1,N
13100,922,1,EQTY,1,COM,1,NS,1,N
13856,6547,1,EQTY,1,COM,1,NS,2,N|Q
14541,4336,1,EQTY,1,COM,1,NS,1,N
14542,1195,1,EQTY,1,COM,1,NS,1,Q
14593,6547,1,EQTY,1,COM,1,NS,1,Q
21936,6547,1,EQTY,1,COM,1,NS,1,N
22111,6547,1,EQTY,1,COM,1,NS,1,N
26403,6547,1,EQTY,1,COM,1,NS,1,N
38703,5072,1,EQTY,1,COM,1,NS,1,N
47896,4527,1,EQTY,1,COM,1,NS,1,N
48071,2020,1,EQTY,1,COM,1,NS,1,N
50024,1475,1,EQTY,1,COM,1,NS,1,N
55976,6547,1,EQTY,1,COM,1,NS,1,N
58827,1452,1,EQTY,1,COM,1,NS,1,N
59328,6547,1,EQTY,1,COM,1,NS,1,Q
59408,5095,1,EQTY,1,COM,1,NS,1,N
66181,6547,1,EQTY,1,COM,1,NS,1,N
69032,4377,1,EQTY,1,COM,1,NS,1,N
70519,5050,1,EQTY,1,COM,1,NS,1,N
75817,1124,1,EQTY,1,COM,1,NS,1,N
76076,6547,1,EQTY,1,COM,1,NS,1,Q
76947,2347,1,EQTY,1,COM,1,NS,1,Q
82621,1927,1,EQTY,1,COM,1,NS,1,A
84398,6528,1,FUND,1,ETF,1,NS,2,A|R
84788,5443,1,EQTY,1,COM,1,NS,1,Q
86580,5018,1,EQTY,1,COM,1,NS,1,Q
86755,3398,1,FUND,1,ETF,1,NS,2,A|Q
86868,4948,1,EQTY,1,COM,1,NS,1,N
88222,4678,1,FUND,1,ETF,1,NS,2,A|R
88614,1481,1,EQTY,1,COM,1,AD,1,N
89393,4181,1,EQTY,1,COM,1,NS,1,Q
90319,3617,1,EQTY,1,COM,1,NS,1,Q
91233,3172,1,EQTY,1,COM,1,NS,1,N
92611,2716,1,EQTY,1,COM,1,NS,1,N
92655,6547,1,EQTY,1,COM,1,NS,1,N
