permno,observations,first_date,last_date,missing_price,zero_price,negative_price,missing_volume,zero_volume,negative_volume,missing_bid,missing_ask,crossed_quote_rows,return_missing,return_outlier_rows,price_jump_rows,ohlc_inconsistency_rows,eligible_universe
10104,6547,1993-01-04,2018-12-31,0,0,0,0,0,0,0,0,237,0,0,1,0,True
10107,6547,1993-01-04,2018-12-31,0,0,0,0,0,0,0,0,329,0,0,0,0,True
11308,6547,1993-01-04,2018-12-31,0,0,0,0,0,0,19,19,29,0,0,1,0,True
11850,4801,1999-12-01,2018-12-31,0,0,0,0,0,0,8,8,42,0,0,0,0,True
12060,6547,1993-01-04,2018-12-31,0,0,0,0,0,0,23,23,23,0,0,2,0,True
13100,922,1993-01-04,1996-08-23,0,0,0,0,0,0,1,1,0,0,0,0,0,True
13856,6547,1993-01-04,2018-12-31,0,0,0,0,0,0,5,5,25,0,0,0,0,True
14541,4336,2001-10-10,2018-12-31,0,0,0,0,0,0,2,2,35,0,0,0,0,True
14542,1195,2014-04-03,2018-12-31,0,0,0,0,0,0,0,0,0,1,0,0,0,True
14593,6547,1993-01-04,2018-12-31,0,0,0,0,0,0,0,0,423,0,1,2,0,True
21936,6547,1993-01-04,2018-12-31,0,0,0,0,5,0,27,27,24,0,0,1,0,True
22111,6547,1993-01-04,2018-12-31,0,0,0,0,0,0,13,13,37,0,0,1,0,True
26403,6547,1993-01-04,2018-12-31,0,0,0,0,0,0,41,41,20,0,0,1,0,True
38703,5072,1998-11-03,2018-12-31,0,0,0,0,0,0,8,8,30,0,0,1,0,True
47896,4527,2001-01-02,2018-12-31,0,0,0,0,0,0,0,0,33,0,0,0,0,True
55976,6547,1993-01-04,2018-12-31,0,0,0,0,0,0,20,20,37,0,0,0,0,True
59328,6547,1993-01-04,2018-12-31,0,0,0,0,0,0,0,0,340,0,0,1,0,True
59408,5095,1998-10-01,2018-12-31,0,0,0,0,0,0,6,6,20,0,0,0,0,True
66181,6547,1993-01-04,2018-12-31,0,0,0,0,0,0,32,32,30,0,0,0,0,True
69032,4377,1993-01-04,2018-12-31,0,0,0,0,0,0,1,1,24,0,1,2,0,True
70519,5050,1998-12-04,2018-12-31,0,0,0,0,0,0,5,5,22,0,1,2,0,True
76076,6547,1993-01-04,2018-12-31,0,0,0,0,0,0,0,0,336,0,0,3,0,True
76947,2347,1993-01-04,2002-04-25,0,0,0,0,27,0,0,0,0,0,2,2,0,True
82621,1927,1998-04-23,2005-12-16,1,0,0,1,23,0,317,317,1,1,4,5,0,True
84788,5443,1997-05-15,2018-12-31,0,0,0,0,0,0,0,0,363,1,0,1,0,True
86580,5018,1999-01-22,2018-12-31,0,0,0,0,0,0,0,0,231,1,0,3,0,True
86868,4948,1999-05-04,2018-12-31,0,0,0,0,0,0,9,9,48,1,0,0,0,True
88614,1481,2000-09-12,2006-08-03,0,0,0,0,0,0,62,62,5,1,0,1,0,True
89393,4181,2002-05-23,2018-12-31,0,0,0,0,0,0,0,0,87,1,0,1,0,True
90319,3617,2004-08-19,2018-12-31,0,0,0,0,0,0,0,0,179,1,0,0,0,True
91233,3172,2006-05-25,2018-12-31,0,0,0,0,0,0,0,0,14,1,0,1,0,True
92611,2716,2008-03-19,2018-12-31,0,0,0,0,0,0,0,0,6,1,0,1,0,True
92655,6547,1993-01-04,2018-12-31,0,0,0,0,2,0,160,160,30,0,0,3,0,True
