permno,permco,ticker,cusip,primaryexch,siccd,daily_first_date,daily_last_date,daily_observations,daily_trading_days,history_calendar_days,history_years_approx,price_missing,price_missing_pct,volume_missing,volume_missing_pct,zero_volume,bid_missing,bid_missing_pct,ask_missing,ask_missing_pct,both_bid_ask,both_bid_ask_pct,crossed_bid_ask,crossed_bid_ask_pct,return_missing,return_missing_pct,trade_count_missing,trade_count_missing_pct,full_price_coverage,full_volume_coverage,full_quote_coverage,has_crossed_quotes,full_return_coverage,full_trade_count_coverage
10104,8045.0,ORCL,68389X10,Q,7370.0,1993-01-04,2018-12-31,6547,6547,9493,25.99041752224504,0,0.0,0,0.0,0,0,0.0,0,0.0,6547,100.0,237,3.619978616160073,0,0.0,1378,21.047808156407516,True,True,True,True,True,False
10107,8048.0,MSFT,59491810,Q,7370.0,1993-01-04,2018-12-31,6547,6547,9493,25.99041752224504,0,0.0,0,0.0,0,0,0.0,0,0.0,6547,100.0,329,5.025202382770734,0,0.0,1,0.01527417137620284,True,True,True,True,True,False
11308,20468.0,KO,19121610,N,2086.0,1993-01-04,2018-12-31,6547,6547,9493,25.99041752224504,0,0.0,0,0.0,0,19,0.290209256147854,19,0.290209256147854,6528,99.70979074385214,29,0.44295096990988236,0,0.0,6547,100.0,True,True,False,True,True,False
11850,20678.0,XOM,30231G10,N,2911.0,1999-12-01,2018-12-31,4801,4801,6971,19.085557837097877,0,0.0,0,0.0,0,8,0.166631951676734,8,0.166631951676734,4793,99.83336804832327,42,0.8748177463028535,0,0.0,4801,100.0,True,True,False,True,True,False
12060,20792.0,GE,36960410,N,3641.0,1993-01-04,2018-12-31,6547,6547,9493,25.99041752224504,0,0.0,0,0.0,0,23,0.3513059416526653,23,0.3513059416526653,6524,99.64869405834733,23,0.3513059416526653,0,0.0,6547,100.0,True,True,False,True,True,False
13100,21172.0,MAY,57777810,N,5311.0,1993-01-04,1996-08-23,922,922,1328,3.6358658453114305,0,0.0,0,0.0,0,1,0.10845986984815618,1,0.10845986984815618,921,99.89154013015184,0,0.0,0,0.0,922,100.0,True,True,False,False,True,False
13856,21384.0,PEP,71344810,N,2086.0,1993-01-04,2018-12-31,6547,6547,9493,25.99041752224504,0,0.0,0,0.0,0,5,0.0763708568810142,5,0.0763708568810142,6542,99.92362914311899,25,0.381854284405071,0,0.0,6289,96.05926378493966,True,True,False,True,True,False
14541,20440.0,CVX,16676410,N,2911.0,2001-10-10,2018-12-31,4336,4336,6292,17.22655715263518,0,0.0,0,0.0,0,2,0.046125461254612546,2,0.046125461254612546,4334,99.9538745387454,35,0.8071955719557196,0,0.0,4336,100.0,True,True,False,True,True,False
14542,45483.0,GOOG,38259P70,Q,7375.0,2014-04-03,2018-12-31,1195,1195,1734,4.747433264887063,0,0.0,0,0.0,0,0,0.0,0,0.0,1195,100.0,0,0.0,1,0.08368200836820083,0,0.0,True,True,True,False,False,True
14593,7.0,AAPL,03783310,Q,3573.0,1993-01-04,2018-12-31,6547,6547,9493,25.99041752224504,0,0.0,0,0.0,0,0,0.0,0,0.0,6547,100.0,423,6.4609744921338015,0,0.0,0,0.0,True,True,True,True,True,True
21936,21394.0,PFE,71708110,N,2834.0,1993-01-04,2018-12-31,6547,6547,9493,25.99041752224504,0,0.0,0,0.0,5,27,0.4124026271574767,27,0.4124026271574767,6520,99.58759737284252,24,0.36658011302886817,0,0.0,6547,100.0,True,True,False,True,True,False
22111,21018.0,JNJ,47816010,N,2834.0,1993-01-04,2018-12-31,6547,6547,9493,25.99041752224504,0,0.0,0,0.0,0,13,0.19856422789063694,13,0.19856422789063694,6534,99.80143577210936,37,0.565144340919505,0,0.0,6547,100.0,True,True,False,True,True,False
26403,20587.0,DIS,25468710,N,7812.0,1993-01-04,2018-12-31,6547,6547,9493,25.99041752224504,0,0.0,0,0.0,0,41,0.6262410264243166,41,0.6262410264243166,6506,99.37375897357569,20,0.3054834275240568,0,0.0,6547,100.0,True,True,False,True,True,False
38703,21305.0,WFC,94974610,N,6021.0,1998-11-03,2018-12-31,5072,5072,7364,20.161533196440793,0,0.0,0,0.0,0,8,0.15772870662460567,8,0.15772870662460567,5064,99.84227129337539,30,0.5914826498422713,0,0.0,5072,100.0,True,True,False,True,True,False
47896,20436.0,CMB,16161A10,N,6712.0,2001-01-02,2018-12-31,4527,4527,6573,17.9958932238193,0,0.0,0,0.0,0,0,0.0,0,0.0,4527,100.0,33,0.7289595758780649,0,0.0,4527,100.0,True,True,True,True,True,False
55976,21880.0,WMT,93114210,N,5331.0,1993-01-04,2018-12-31,6547,6547,9493,25.99041752224504,0,0.0,0,0.0,0,20,0.3054834275240568,20,0.3054834275240568,6527,99.69451657247595,37,0.565144340919505,0,0.0,6547,100.0,True,True,False,True,True,False
59328,2367.0,INTC,45814010,Q,3679.0,1993-01-04,2018-12-31,6547,6547,9493,25.99041752224504,0,0.0,0,0.0,0,0,0.0,0,0.0,6547,100.0,340,5.193218267908966,0,0.0,1,0.01527417137620284,True,True,True,True,True,False
59408,3151.0,BAC,06605F10,N,6021.0,1998-10-01,2018-12-31,5095,5095,7397,20.251882272416154,0,0.0,0,0.0,0,6,0.11776251226692837,6,0.11776251226692837,5089,99.88223748773308,20,0.39254170755642787,0,0.0,5095,100.0,True,True,False,True,True,False
66181,5085.0,HD,43707610,N,5211.0,1993-01-04,2018-12-31,6547,6547,9493,25.99041752224504,0,0.0,0,0.0,0,32,0.48877348403849086,32,0.48877348403849086,6515,99.51122651596151,30,0.4582251412860852,0,0.0,6547,100.0,True,True,False,True,True,False
