PERMNO,PERMCO,Ticker,PrimaryExch,SecurityType,SecuritySubType,ShareType,SICCD,NAICS,in_names_universe,in_daily_file,has_daily_history,daily_first_date,daily_last_date,daily_observations,daily_trading_days,reconciliation_status,CUSIP,issuernm,shareclass,usincflg,issuertype,tradingstatusflg,tradingsymbol,SecurityBegDt,SecurityEndDt
10104,8045.0,ORCL,Q,EQTY,COM,NS,7370.0,0.0,True,True,True,1993-01-04,2018-12-31,6547.0,6547.0,NAMES_AND_DAILY,68389X10,ORACLE CORP,,Y,CORP,A,ORCL,1986-03-12,2025-12-31
10107,8048.0,MSFT,Q,EQTY,COM,NS,7370.0,511210.0,True,True,True,1993-01-04,2018-12-31,6547.0,6547.0,NAMES_AND_DAILY,59491810,MICROSOFT CORP,,Y,CORP,A,MSFT,1986-03-13,2025-12-31
11260,,,,,,,,,False,True,True,1993-01-04,1998-11-12,1483.0,1483.0,DAILY_ONLY,,,,,,,,,
11308,20468.0,KO,N,EQTY,COM,NS,2086.0,0.0,True,True,True,1993-01-04,2018-12-31,6547.0,6547.0,NAMES_AND_DAILY,19121610,COCA COLA CO,,Y,CORP,A,,1925-12-31,2025-12-31
11850,20678.0,XOM,N,EQTY,COM,NS,2911.0,0.0,True,True,True,1999-12-01,2018-12-31,4801.0,4801.0,NAMES_AND_DAILY,30231G10,EXXON MOBIL CORP,,Y,CORP,A,,1925-12-31,2025-12-31
12060,20792.0,GE,N,EQTY,COM,NS,3641.0,0.0,True,True,True,1993-01-04,2018-12-31,6547.0,6547.0,NAMES_AND_DAILY,36960410,GENERAL ELECTRIC CO,,Y,CORP,A,,1925-12-31,2025-12-31
13100,21172.0,MAY,N,EQTY,COM,NS,5311.0,0.0,True,True,True,1993-01-04,1996-08-23,922.0,922.0,NAMES_AND_DAILY,57777810,MAY DEPARTMENT STORES CO,,Y,CORP,A,,1925-12-31,2005-08-29
13407,54084.0,FB,Q,EQTY,COM,NS,7375.0,519130.0,True,False,False,,,,,NAMES_ONLY,30303M10,FACEBOOK INC,A,Y,CORP,A,FB,2012-05-18,2025-12-31
13856,21384.0,PEP,N,EQTY,COM,NS,2086.0,0.0,True,True,True,1993-01-04,2018-12-31,6547.0,6547.0,NAMES_AND_DAILY,71344810,PEPSICO INC,,Y,CORP,A,PEP,1925-12-31,2025-12-31
14541,20440.0,CVX,N,EQTY,COM,NS,2911.0,0.0,True,True,True,2001-10-10,2018-12-31,4336.0,4336.0,NAMES_AND_DAILY,16676410,CHEVRONTEXACO CORP,,Y,CORP,A,,1925-12-31,2025-12-31
