permno,permco,ticker,cusip,securitybegdt,securityenddt,daily_first_date,daily_last_date,daily_observations,daily_trading_days,daily_unique_tickers,daily_unique_permcos
10104,8045.0,ORCL,68389X10,1986-03-12,2025-12-31,1993-01-04,2018-12-31,6547,6547,1,1
10107,8048.0,MSFT,59491810,1986-03-13,2025-12-31,1993-01-04,2018-12-31,6547,6547,1,1
11308,20468.0,KO,19121610,1925-12-31,2025-12-31,1993-01-04,2018-12-31,6547,6547,1,1
11850,20678.0,XOM,30231G10,1925-12-31,2025-12-31,1999-12-01,2018-12-31,4801,4801,1,1
12060,20792.0,GE,36960410,1925-12-31,2025-12-31,1993-01-04,2018-12-31,6547,6547,1,1
13100,21172.0,MAY,57777810,1925-12-31,2005-08-29,1993-01-04,1996-08-23,922,922,1,1
13856,21384.0,PEP,71344810,1925-12-31,2025-12-31,1993-01-04,2018-12-31,6547,6547,1,1
14541,20440.0,CVX,16676410,1925-12-31,2025-12-31,2001-10-10,2018-12-31,4336,4336,1,1
14542,45483.0,GOOG,38259P70,2014-04-03,2025-12-31,2014-04-03,2018-12-31,1195,1195,1,1
14593,7.0,AAPL,03783310,1980-12-12,2025-12-31,1993-01-04,2018-12-31,6547,6547,1,1
21936,21394.0,PFE,71708110,1944-01-17,2025-12-31,1993-01-04,2018-12-31,6547,6547,1,1
22111,21018.0,JNJ,47816010,1944-09-25,2025-12-31,1993-01-04,2018-12-31,6547,6547,1,1
26403,20587.0,DIS,25468710,1957-11-12,2025-12-31,1993-01-04,2018-12-31,6547,6547,1,1
38703,21305.0,WFC,94974610,1962-12-10,2025-12-31,1998-11-03,2018-12-31,5072,5072,1,1
47896,20436.0,CMB,16161A10,1969-03-05,2025-12-31,2001-01-02,2018-12-31,4527,4527,1,1
55976,21880.0,WMT,93114210,1972-11-20,2025-12-31,1993-01-04,2018-12-31,6547,6547,1,1
59328,2367.0,INTC,45814010,1972-12-14,2025-12-31,1993-01-04,2018-12-31,6547,6547,1,1
59408,3151.0,BAC,06605F10,1972-12-14,2025-12-31,1998-10-01,2018-12-31,5095,5095,1,1
66181,5085.0,HD,43707610,1981-09-22,2025-12-31,1993-01-04,2018-12-31,6547,6547,1,1
69032,21224.0,MWD,61744644,1986-03-21,2025-12-31,1993-01-04,2018-12-31,4377,4377,1,1
70519,20483.0,TRV,89419010,1986-10-29,2025-12-31,1998-12-04,2018-12-31,5050,5050,1,1
76076,10486.0,CSCO,17275R10,1990-02-16,2025-12-31,1993-01-04,2018-12-31,6547,6547,1,1
76947,10961.0,META,59139810,1991-06-05,2002-04-25,1993-01-04,2002-04-25,2347,2347,1,1
82621,14097.0,USOS,91232910,1995-11-07,2025-12-31,1998-04-23,2005-12-16,1927,1927,1,1
84788,15473.0,AMZN,02313510,1997-05-15,2025-12-31,1997-05-15,2018-12-31,5443,5443,1,1
86580,16382.0,NVDA,67066G10,1999-01-22,2025-12-31,1999-01-22,2018-12-31,5018,5018,1,1
86868,35048.0,GS,38141G10,1999-05-04,2025-12-31,1999-05-04,2018-12-31,4948,4948,1,1
88614,39149.0,V,92851S10,2000-09-12,2006-08-03,2000-09-12,2006-08-03,1481,1481,1,1
89393,43145.0,NFLX,64110L10,2002-05-23,2025-12-31,2002-05-23,2018-12-31,4181,4181,1,1
90319,45483.0,GOOG,38259P50,2004-08-19,2025-12-31,2004-08-19,2018-12-31,3617,3617,2,1
91233,50700.0,MA,57636Q10,2006-05-25,2025-12-31,2006-05-25,2018-12-31,3172,3172,1,1
92611,52983.0,V,92826C83,2008-03-19,2025-12-31,2008-03-19,2018-12-31,2716,2716,1,1
92655,7267.0,UNH,91058110,1984-10-17,2025-12-31,1993-01-04,2018-12-31,6547,6547,1,1
