permno,permco,ticker,cusip,issuernm,shareclass,usincflg,issuertype,securitytype,securitysubtype,sharetype,siccd,primaryexch,tradingstatusflg,tradingsymbol,naics,securitybegdt,securityenddt,daily_first_date,daily_last_date,daily_observations,daily_trading_days,daily_unique_tickers,daily_unique_permcos,in_names_file,in_daily_file,has_daily_history,source_class,overlap_start,overlap_end,date_range_overlap,eligible_initial,exclusion_reason
10104,8045.0,ORCL,68389X10,ORACLE CORP,,Y,CORP,EQTY,COM,NS,7370.0,Q,A,ORCL,0.0,1986-03-12,2025-12-31,1993-01-04,2018-12-31,6547.0,6547.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,2018-12-31,True,True,
10107,8048.0,MSFT,59491810,MICROSOFT CORP,,Y,CORP,EQTY,COM,NS,7370.0,Q,A,MSFT,511210.0,1986-03-13,2025-12-31,1993-01-04,2018-12-31,6547.0,6547.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,2018-12-31,True,True,
11308,20468.0,KO,19121610,COCA COLA CO,,Y,CORP,EQTY,COM,NS,2086.0,N,A,KO,0.0,1925-12-31,2025-12-31,1993-01-04,2018-12-31,6547.0,6547.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,2018-12-31,True,True,
11850,20678.0,XOM,30231G10,EXXON MOBIL CORP,,Y,CORP,EQTY,COM,NS,2911.0,N,A,XOM,0.0,1925-12-31,2025-12-31,1999-12-01,2018-12-31,4801.0,4801.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1999-12-01,2018-12-31,True,True,
12060,20792.0,GE,36960410,GENERAL ELECTRIC CO,,Y,CORP,EQTY,COM,NS,3641.0,N,A,GE,0.0,1925-12-31,2025-12-31,1993-01-04,2018-12-31,6547.0,6547.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,2018-12-31,True,True,
13100,21172.0,MAY,57777810,MAY DEPARTMENT STORES CO,,Y,CORP,EQTY,COM,NS,5311.0,N,A,MAY,0.0,1925-12-31,2005-08-29,1993-01-04,1996-08-23,922.0,922.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,1996-08-23,True,True,
13856,21384.0,PEP,71344810,PEPSICO INC,,Y,CORP,EQTY,COM,NS,2086.0,N,A,PEP,0.0,1925-12-31,2025-12-31,1993-01-04,2018-12-31,6547.0,6547.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,2018-12-31,True,True,
14541,20440.0,CVX,16676410,CHEVRONTEXACO CORP,,Y,CORP,EQTY,COM,NS,2911.0,N,A,CVX,0.0,1925-12-31,2025-12-31,2001-10-10,2018-12-31,4336.0,4336.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,2001-10-10,2018-12-31,True,True,
14542,45483.0,GOOG,38259P70,GOOGLE INC,C,Y,CORP,EQTY,COM,NS,7375.0,Q,A,GOOG,519130.0,2014-04-03,2025-12-31,2014-04-03,2018-12-31,1195.0,1195.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,2014-04-03,2018-12-31,True,True,
14593,7.0,AAPL,03783310,APPLE COMPUTER INC,,Y,CORP,EQTY,COM,NS,3573.0,Q,A,AAPL,334111.0,1980-12-12,2025-12-31,1993-01-04,2018-12-31,6547.0,6547.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,2018-12-31,True,True,
21936,21394.0,PFE,71708110,PFIZER INC,,Y,CORP,EQTY,COM,NS,2834.0,N,A,PFE,0.0,1944-01-17,2025-12-31,1993-01-04,2018-12-31,6547.0,6547.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,2018-12-31,True,True,
22111,21018.0,JNJ,47816010,JOHNSON & JOHNSON,,Y,CORP,EQTY,COM,NS,2834.0,N,A,JNJ,0.0,1944-09-25,2025-12-31,1993-01-04,2018-12-31,6547.0,6547.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,2018-12-31,True,True,
26403,20587.0,DIS,25468710,DISNEY WALT CO,,Y,CORP,EQTY,COM,NS,7812.0,N,A,DIS,0.0,1957-11-12,2025-12-31,1993-01-04,2018-12-31,6547.0,6547.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,2018-12-31,True,True,
38703,21305.0,WFC,94974610,WELLS FARGO & CO NEW,,Y,CORP,EQTY,COM,NS,6021.0,N,A,WFC,0.0,1962-12-10,2025-12-31,1998-11-03,2018-12-31,5072.0,5072.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1998-11-03,2018-12-31,True,True,
47896,20436.0,CMB,16161A10,CHASE MANHATTAN CORP NEW,,Y,CORP,EQTY,COM,NS,6712.0,N,A,JPM,0.0,1969-03-05,2025-12-31,2001-01-02,2018-12-31,4527.0,4527.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,2001-01-02,2018-12-31,True,True,
55976,21880.0,WMT,93114210,WAL MART STORES INC,,Y,CORP,EQTY,COM,NS,5331.0,N,A,WMT,0.0,1972-11-20,2025-12-31,1993-01-04,2018-12-31,6547.0,6547.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,2018-12-31,True,True,
59328,2367.0,INTC,45814010,INTEL CORP,,Y,CORP,EQTY,COM,NS,3679.0,Q,A,INTC,334413.0,1972-12-14,2025-12-31,1993-01-04,2018-12-31,6547.0,6547.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,2018-12-31,True,True,
59408,3151.0,BAC,06605F10,BANKAMERICA CORP NEW,,Y,CORP,EQTY,COM,NS,6021.0,N,A,BAC,0.0,1972-12-14,2025-12-31,1998-10-01,2018-12-31,5095.0,5095.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1998-10-01,2018-12-31,True,True,
66181,5085.0,HD,43707610,HOME DEPOT INC,,Y,CORP,EQTY,COM,NS,5211.0,N,A,HD,0.0,1981-09-22,2025-12-31,1993-01-04,2018-12-31,6547.0,6547.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,2018-12-31,True,True,
69032,21224.0,MWD,61744644,MORGAN STANLEY DEAN WITTER D & C,,Y,CORP,EQTY,COM,NS,6211.0,N,A,MWD,0.0,1986-03-21,2025-12-31,1993-01-04,2018-12-31,4377.0,4377.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,2018-12-31,True,True,
70519,20483.0,TRV,89419010,TRAVELERS INC,,Y,CORP,EQTY,COM,NS,6211.0,N,A,C,0.0,1986-10-29,2025-12-31,1998-12-04,2018-12-31,5050.0,5050.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1998-12-04,2018-12-31,True,True,
76076,10486.0,CSCO,17275R10,CISCO SYSTEMS INC,,Y,CORP,EQTY,COM,NS,3674.0,Q,A,CSCO,0.0,1990-02-16,2025-12-31,1993-01-04,2018-12-31,6547.0,6547.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,2018-12-31,True,True,
76947,10961.0,META,59139810,METATEC CORP,,Y,ACOR,EQTY,COM,NS,3690.0,Q,A,META,0.0,1991-06-05,2002-04-25,1993-01-04,2002-04-25,2347.0,2347.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,2002-04-25,True,True,
82621,14097.0,USOS,91232910,U S OPPORTUNITY SEARCH INC,,Y,CORP,EQTY,COM,NS,6710.0,Q,A,USOS,0.0,1995-11-07,2025-12-31,1998-04-23,2005-12-16,1927.0,1927.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1998-04-23,2005-12-16,True,True,
84788,15473.0,AMZN,02313510,AMAZON COM INC,,Y,CORP,EQTY,COM,NS,7370.0,Q,A,AMZN,0.0,1997-05-15,2025-12-31,1997-05-15,2018-12-31,5443.0,5443.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1997-05-15,2018-12-31,True,True,
86580,16382.0,NVDA,67066G10,NVIDIA CORP,,Y,CORP,EQTY,COM,NS,3670.0,Q,A,NVDA,0.0,1999-01-22,2025-12-31,1999-01-22,2018-12-31,5018.0,5018.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1999-01-22,2018-12-31,True,True,
86868,35048.0,GS,38141G10,GOLDMAN SACHS GROUP INC,,Y,CORP,EQTY,COM,NS,6211.0,N,A,GS,0.0,1999-05-04,2025-12-31,1999-05-04,2018-12-31,4948.0,4948.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1999-05-04,2018-12-31,True,True,
88614,39149.0,V,92851S10,VIVENDI,,N,CORP,EQTY,COM,AD,4813.0,N,A,V,0.0,2000-09-12,2006-08-03,2000-09-12,2006-08-03,1481.0,1481.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,2000-09-12,2006-08-03,True,True,
89393,43145.0,NFLX,64110L10,NETFLIX INC,,Y,CORP,EQTY,COM,NS,7841.0,Q,A,NFLX,0.0,2002-05-23,2025-12-31,2002-05-23,2018-12-31,4181.0,4181.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,2002-05-23,2018-12-31,True,True,
90319,45483.0,GOOG,38259P50,GOOGLE INC,A,Y,CORP,EQTY,COM,NS,7375.0,Q,A,GOOG,514191.0,2004-08-19,2025-12-31,2004-08-19,2018-12-31,3617.0,3617.0,2.0,1.0,True,True,True,NAMES_AND_DAILY,2004-08-19,2018-12-31,True,True,
91233,50700.0,MA,57636Q10,MASTERCARD INC,A,Y,CORP,EQTY,COM,NS,6153.0,N,A,MA,522210.0,2006-05-25,2025-12-31,2006-05-25,2018-12-31,3172.0,3172.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,2006-05-25,2018-12-31,True,True,
92611,52983.0,V,92826C83,VISA INC,A,Y,CORP,EQTY,COM,NS,7383.0,N,A,V,0.0,2008-03-19,2025-12-31,2008-03-19,2018-12-31,2716.0,2716.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,2008-03-19,2018-12-31,True,True,
92655,7267.0,UNH,91058110,UNITED HEALTHCARE CORP,,Y,CORP,EQTY,COM,NS,6324.0,N,A,UNH,0.0,1984-10-17,2025-12-31,1993-01-04,2018-12-31,6547.0,6547.0,1.0,1.0,True,True,True,NAMES_AND_DAILY,1993-01-04,2018-12-31,True,True,
