permno,permco,ticker,first_date,last_date,observations,valid_price_rows,valid_volume_rows,two_sided_quote_rows,normal_quote_rows,crossed_quote_rows,execution_ready_rows,positive_volume_rows,positive_volume_execution_rows,mean_relative_quoted_spread,median_relative_quoted_spread,mean_dollar_volume,median_dollar_volume,quote_coverage,execution_coverage,positive_volume_execution_coverage
10104,8045,ORCL,1993-01-04,2018-12-31,6547,6547,6547,6547,6310,237,6310,6547,6310,0.00115900782143837,0.000511901714870643,612679072.1963483,532801710.61,1.0,0.9638002138383993,0.9638002138383993
10107,8048,MSFT,1993-01-04,2018-12-31,6547,6547,6547,6547,6218,329,6218,6547,6218,0.0006453054354864142,0.00035951824555101796,1635583431.8202424,1487655842.1,1.0,0.9497479761722927,0.9497479761722927
11308,20468,KO,1993-01-04,2018-12-31,6547,6547,6547,6528,6499,29,6499,6547,6499,0.0024835176981594527,0.00042831150514688354,376836826.19478005,330494237.4375,0.9970979074385214,0.9926683977394226,0.9926683977394226
11850,20678,XOM,1999-12-01,2018-12-31,4801,4801,4801,4793,4751,42,4751,4801,4751,0.001425724331824103,0.00016825103053752857,1197103859.6045043,1052790206.8499999,0.9983336804832327,0.9895855030202041,0.9895855030202041
12060,20792,GE,1993-01-04,2018-12-31,6547,6547,6547,6524,6501,23,6501,6547,6501,0.001861742237594774,0.000648508498794284,843687572.7045487,740669631.1875,0.9964869405834733,0.9929738811669467,0.9929738811669467
13100,21172,MA,1993-01-04,1996-08-23,922,922,922,921,921,0,921,922,921,0.008348096500400698,0.008559201141226819,22582599.78646963,20206281.25,0.9989154013015185,0.9989154013015185,0.9989154013015185
13856,21384,PEP,1993-01-04,2018-12-31,6547,6547,6547,6542,6517,25,6517,6547,6517,0.0037237657737574695,0.00041010990934361915,295729372.732004,258975000.0,0.9992362914311899,0.9954177485871392,0.9954177485871392
14541,20440,CVX,2001-10-10,2018-12-31,4336,4336,4336,4334,4299,35,4299,4336,4299,0.0005443997412228352,0.00015084663205551583,680091380.4949148,646240450.425,0.9995387453874539,0.9914667896678967,0.9914667896678967
14542,45483,GOOG,2014-04-03,2018-12-31,1195,1195,1195,1195,1195,0,1195,1195,1195,0.00033199208693527764,0.0003015938579755423,1408583164.0717323,1210325757.33,1.0,1.0,1.0
14593,7,AAPL,1993-01-04,2018-12-31,6547,6547,6547,6547,6124,423,6124,6547,6124,0.0015109628160225519,0.0003702195401874152,2891833231.9609914,1481753616.7825,1.0,0.935390255078662,0.935390255078662
21936,21394,PFE,1993-01-04,2018-12-31,6547,6547,6547,6520,6496,24,6496,6542,6491,0.0030891906480241794,0.0006467259667847262,637094946.310401,609685728.0,0.9958759737284252,0.9922101725981366,0.9914464640293265
22111,21018,JNJ,1993-01-04,2018-12-31,6547,6547,6547,6534,6497,37,6497,6547,6497,0.0035797080895130133,0.00036856184133542445,526370463.8641264,500641258.42,0.9980143577210936,0.9923629143118986,0.9923629143118986
26403,20587,DIS,1993-01-04,2018-12-31,6547,6547,6547,6506,6486,20,6486,6547,6486,0.003765451912699274,0.000671930593283208,345102363.7841832,255855185.0,0.9937375897357569,0.9906827554605163,0.9906827554605163
38703,21305,WFC,1998-11-03,2018-12-31,5072,5072,5072,5064,5034,30,5034,5072,5034,0.0023061435199232157,0.00032328459024925124,728816157.5813746,634298493.4200001,0.998422712933754,0.9925078864353313,0.9925078864353313
47896,20436,JPM,2001-01-02,2018-12-31,4527,4527,4527,4527,4494,33,4494,4527,4494,0.0015061825752499805,0.00025034422330717527,1029226164.0072918,913465206.0,1.0,0.9927104042412194,0.9927104042412194
