permno,permco,ticker,first_date,last_date,observations,pretrade_features_available,execution_ready_rows,mean_spread_bps,median_spread_bps,mean_adv_20d,mean_realized_vol_20d,mean_amihud_20d,pretrade_feature_coverage
10104,8045,ORCL,1993-01-04,2018-12-31,6547,6545,6310,11.5900782143837,5.11901714870643,610754822.233941,0.02353356516942774,6.098189468682705e-11,0.999694516572476
10107,8048,MSFT,1993-01-04,2018-12-31,6547,6545,6218,6.4530543548641415,3.59518245551018,1627659160.6972191,0.017719403240631933,1.5368499868267498e-11,0.999694516572476
11308,20468,KO,1993-01-04,2018-12-31,6547,6526,6499,24.835176981594525,4.283115051468835,375732242.8602445,0.012185302298488939,4.268171436469338e-11,0.9967924240109974
11850,20678,XOM,1999-12-01,2018-12-31,4801,4791,4751,14.25724331824103,1.6825103053752857,1195088656.730757,0.01343523717228411,1.1872762335211392e-11,0.9979171006040408
12060,20792,GE,1993-01-04,2018-12-31,6547,6522,6501,18.61742237594774,6.485084987942841,842338374.5865992,0.015645436731952657,2.433736686677597e-11,0.9961814571559493
13100,21172,MA,1993-01-04,1996-08-23,922,919,921,83.48096500400698,85.59201141226819,22524798.006857365,0.015424043924475462,6.082732201165482e-10,0.9967462039045553
13856,21384,PEP,1993-01-04,2018-12-31,6547,6540,6517,37.23765773757469,4.101099093436192,294754138.05976546,0.012596713598245626,5.930211820662443e-11,0.9989308080036658
14541,20440,CVX,2001-10-10,2018-12-31,4336,4332,4299,5.443997412228351,1.5084663205551583,678703014.2346395,0.01384700581479332,1.9479461763267652e-11,0.9990774907749077
14542,45483,GOOG,2014-04-03,2018-12-31,1195,1192,1195,3.319920869352776,3.015938579755423,1410548646.668095,0.01366543330880065,7.14178142404643e-12,0.9974895397489539
14593,7,AAPL,1993-01-04,2018-12-31,6547,6545,6124,15.10962816022552,3.702195401874152,2880006628.4356227,0.024866028744643377,1.3182400108278635e-10,0.999694516572476
21936,21394,PFE,1993-01-04,2018-12-31,6547,6518,6496,30.891906480241794,6.4672596678472605,635378584.9147915,0.015238619735442951,4.703712560723983e-11,0.9955704903009012
22111,21018,JNJ,1993-01-04,2018-12-31,6547,6532,6497,35.79708089513013,3.685618413354245,523346095.263345,0.011794104368204524,4.5618611324968514e-11,0.9977088742935696
26403,20587,DIS,1993-01-04,2018-12-31,6547,6504,6486,37.654519126992746,6.71930593283208,343735372.9726698,0.01657266288876298,7.309025571731271e-11,0.9934321063082328
38703,21305,WFC,1998-11-03,2018-12-31,5072,5062,5034,23.061435199232157,3.232845902492512,726390983.6382099,0.017914641122978317,3.229320401158932e-11,0.9980283911671924
47896,20436,JPM,2001-01-02,2018-12-31,4527,4525,4494,15.061825752499804,2.5034422330717527,1025848711.585901,0.019361296109441938,2.0297749649804674e-11,0.9995582063176497
55976,21880,WMT,1993-01-04,2018-12-31,6547,6525,6490,31.09798117011398,4.127966976264835,517543218.3795165,0.014738503900664118,5.055947883748523e-11,0.9966396822972354
59328,2367,INTC,1993-01-04,2018-12-31,6547,6545,6207,7.505092592655942,4.54235748353305,1249275757.7272484,0.02123103723165462,1.6874826160292487e-11,0.999694516572476
59408,3151,BAC,1998-10-01,2018-12-31,5095,5087,5069,21.947132745487544,6.8894247330346445,1319758164.4522045,0.0214825318837798,2.0926724337194556e-11,0.9984298331697743
66181,5085,HD,1993-01-04,2018-12-31,6547,6513,6485,37.51109488010634,5.003752814609963,389538405.76316375,0.017270739948756088,6.938768587326161e-11,0.994806781732091
69032,21224,MS,1993-01-04,2018-12-31,4377,4374,4352,21.639756704488846,4.11438045373953,370144895.3427757,0.02264960707042583,2.754601381324865e-10,0.9993145990404386
70519,20483,C,1998-12-04,2018-12-31,5050,5043,5023,20.913888630758358,3.9471087428464826,1145582694.4528396,0.022137824985697788,1.7249146246250612e-11,0.9986138613861386
76076,10486,CSCO,1993-01-04,2018-12-31,6547,6545,6211,10.185808051308028,5.041593143434112,1027914327.5616387,0.022511494785659805,3.415336854776991e-11,0.999694516572476
76947,10961,META,1993-01-04,2002-04-25,2347,2345,2347,675.0082060607339,547.945205479452,163767.64072831787,0.058514001966034394,1.7531913750994142e-05,0.9991478483170004
82621,14097,MS,1998-04-23,2005-12-16,1927,1608,1609,861.8154719323318,689.6551724137917,129972.0582496963,0.07724099969385442,1.8547790144871038e-05,0.8344577062791905
84788,15473,AMZN,1997-05-15,2018-12-31,5443,5440,5080,7.702891830682355,3.6717459151828087,1287301459.084003,0.03198397058665189,2.3235584175836248e-10,0.9994488333639537
86580,16382,NVDA,1999-01-22,2018-12-31,5018,5015,4787,9.164157503554339,5.7306594962814765,495318351.71487373,0.03377790467636435,4.02143908360487e-10,0.9994021522518932
86868,35048,GS,1999-05-04,2018-12-31,4948,4936,4891,18.50718383360598,2.4094934040113274,803562707.1598479,0.020059746257959768,4.398249340459961e-11,0.9975747776879548
88614,39149,V,2000-09-12,2006-08-03,1481,1416,1414,50.5718748646779,15.820281601012724,16716634.643945646,0.022937842770655918,1.8372278392023026e-09,0.9561107359891965
89393,43145,NFLX,2002-05-23,2018-12-31,4181,4178,4094,9.287073778788574,4.023335345000206,737907022.9919533,0.033175823706134915,9.846756583257892e-10,0.999282468309017
90319,45483,GOOG,2004-08-19,2018-12-31,3617,3614,3438,4.771131384265522,2.820448249810856,2087639140.3007174,0.01697618961105614,6.57483214366317e-12,0.9991705833563727
91233,50700,MA,2006-05-25,2018-12-31,3172,3169,3158,4.313286048923411,1.6804380221611024,454056216.4335671,0.0187431206218516,3.771577970506818e-11,0.9990542244640606
92611,52983,V,2008-03-19,2018-12-31,2716,2713,2710,2.6164509569543606,1.319174219908049,667411142.2805146,0.016590268434087254,2.1925591879205197e-11,0.9988954344624448
92655,7267,UNH,1993-01-04,2018-12-31,6547,6385,6357,51.97538385363518,4.093048639061482,268508786.2100842,0.01941301306776409,1.7466444890147694e-10,0.9752558423705514
