permno,permco,ticker,cusip,issuernm,shareclass,usincflg,issuertype,securitytype,securitysubtype,sharetype,siccd,primaryexch,tradingstatusflg,tradingsymbol,naics,securitybegdt,securityenddt
10104,8045,ORCL,68389X10,ORACLE CORP,,Y,CORP,EQTY,COM,NS,7370,Q,A,ORCL,0,1986-03-12,2025-12-31
10107,8048,MSFT,59491810,MICROSOFT CORP,,Y,CORP,EQTY,COM,NS,7370,Q,A,MSFT,511210,1986-03-13,2025-12-31
11308,20468,KO,19121610,COCA COLA CO,,Y,CORP,EQTY,COM,NS,2086,N,A,,0,1925-12-31,2025-12-31
11850,20678,XOM,30231G10,EXXON MOBIL CORP,,Y,CORP,EQTY,COM,NS,2911,N,A,,0,1925-12-31,2025-12-31
12060,20792,GE,36960410,GENERAL ELECTRIC CO,,Y,CORP,EQTY,COM,NS,3641,N,A,,0,1925-12-31,2025-12-31
13100,21172,MAY,57777810,MAY DEPARTMENT STORES CO,,Y,CORP,EQTY,COM,NS,5311,N,A,,0,1925-12-31,2005-08-29
13407,54084,FB,30303M10,FACEBOOK INC,A,Y,CORP,EQTY,COM,NS,7375,Q,A,FB,519130,2012-05-18,2025-12-31
13856,21384,PEP,71344810,PEPSICO INC,,Y,CORP,EQTY,COM,NS,2086,N,A,PEP,0,1925-12-31,2025-12-31
14541,20440,CVX,16676410,CHEVRONTEXACO CORP,,Y,CORP,EQTY,COM,NS,2911,N,A,,0,1925-12-31,2025-12-31
14542,45483,GOOG,38259P70,GOOGLE INC,C,Y,CORP,EQTY,COM,NS,7375,Q,A,GOOG,519130,2014-04-03,2025-12-31
14593,7,AAPL,03783310,APPLE COMPUTER INC,,Y,CORP,EQTY,COM,NS,3573,Q,A,AAPL,334111,1980-12-12,2025-12-31
16424,20818,G,37576610,GILLETTE CO,,Y,CORP,EQTY,COM,NS,3421,N,A,G,0,1927-09-29,2005-09-30
21936,21394,PFE,71708110,PFIZER INC,,Y,CORP,EQTY,COM,NS,2834,N,A,PFE,0,1944-01-17,2025-12-31
22111,21018,JNJ,47816010,JOHNSON & JOHNSON,,Y,CORP,EQTY,COM,NS,2834,N,A,,0,1944-09-25,2025-12-31
26403,20587,DIS,25468710,DISNEY WALT CO,,Y,CORP,EQTY,COM,NS,7812,N,A,,0,1957-11-12,2025-12-31
38703,21305,WFC,94974610,WELLS FARGO & CO NEW,,Y,CORP,EQTY,COM,NS,6021,N,A,,0,1962-12-10,2025-12-31
47896,20436,CMB,16161A10,CHASE MANHATTAN CORP NEW,,Y,CORP,EQTY,COM,NS,6712,N,A,,0,1969-03-05,2025-12-31
55976,21880,WMT,93114210,WAL MART STORES INC,,Y,CORP,EQTY,COM,NS,5331,N,A,WMT,0,1972-11-20,2025-12-31
59328,2367,INTC,45814010,INTEL CORP,,Y,CORP,EQTY,COM,NS,3679,Q,A,INTC,334413,1972-12-14,2025-12-31
59408,3151,BAC,06605F10,BANKAMERICA CORP NEW,,Y,CORP,EQTY,COM,NS,6021,N,A,,0,1972-12-14,2025-12-31
66181,5085,HD,43707610,HOME DEPOT INC,,Y,CORP,EQTY,COM,NS,5211,N,A,HD,0,1981-09-22,2025-12-31
69032,21224,MWD,61744644,MORGAN STANLEY DEAN WITTER D & C,,Y,CORP,EQTY,COM,NS,6211,N,A,,0,1986-03-21,2025-12-31
70519,20483,TRV,89419010,TRAVELERS INC,,Y,CORP,EQTY,COM,NS,6211,N,A,,0,1986-10-29,2025-12-31
76076,10486,CSCO,17275R10,CISCO SYSTEMS INC,,Y,CORP,EQTY,COM,NS,3674,Q,A,CSCO,0,1990-02-16,2025-12-31
76947,10961,META,59139810,METATEC CORP,,Y,ACOR,EQTY,COM,NS,3690,Q,A,META,0,1991-06-05,2002-04-25
