PERMNO,present_in_crsp_names
10104,True
10107,True
11260,False
11308,True
11850,True
12060,True
13100,True
13856,True
14541,True
14542,True
14593,True
21936,True
22111,True
26403,True
38703,True
47896,True
48071,False
50024,False
55976,True
58827,False
59328,True
59408,True
66181,True
69032,True
70519,True
75817,False
76076,True
76947,True
82621,True
84398,True
84788,True
86580,True
86755,True
86868,True
88222,True
88614,True
89393,True
90319,True
91233,True
92611,True
92655,True
