PERMNO,daily_first_date,daily_last_date,daily_observations,names_records,unique_PERMCO,unique_Ticker,unique_CUSIP,first_security_beg,last_security_end,first_secinfo_start,last_secinfo_end,daily_before_security_beg,daily_after_security_end,daily_before_secinfo_start,daily_after_secinfo_end
10104,1993-01-04,2018-12-31,6547,5.0,1.0,1.0,1.0,1986-03-12,2025-12-31,1995-06-01,2023-06-26,False,False,True,False
10107,1993-01-04,2018-12-31,6547,3.0,1.0,1.0,1.0,1986-03-13,2025-12-31,2004-06-10,2023-09-28,False,False,True,False
11260,1993-01-04,1998-11-12,1483,,,,,,,,,False,False,False,False
11308,1993-01-04,2018-12-31,6547,4.0,1.0,1.0,1.0,1925-12-31,2025-12-31,2001-02-01,2023-09-28,False,False,True,False
11850,1999-12-01,2018-12-31,4801,5.0,1.0,1.0,1.0,1925-12-31,2025-12-31,1999-12-01,2019-09-10,False,False,False,False
12060,1993-01-04,2018-12-31,6547,7.0,1.0,1.0,1.0,1925-12-31,2025-12-31,2000-03-01,2021-08-01,False,False,True,False
13100,1993-01-04,1996-08-23,922,3.0,1.0,1.0,1.0,1925-12-31,2005-08-29,1996-08-26,2005-08-29,False,False,True,False
13856,1993-01-04,2018-12-31,6547,4.0,1.0,1.0,1.0,1925-12-31,2025-12-31,2002-01-02,2023-09-28,False,False,True,False
14541,2001-10-10,2018-12-31,4336,6.0,1.0,1.0,1.0,1925-12-31,2025-12-31,2001-10-10,2021-03-31,False,False,False,False
14542,2014-04-03,2018-12-31,1195,4.0,1.0,1.0,2.0,2014-04-03,2025-12-31,2014-04-03,2023-09-28,False,False,False,False
14593,1993-01-04,2018-12-31,6547,5.0,1.0,1.0,1.0,1980-12-12,2025-12-31,2004-06-10,2021-12-08,False,False,True,False
21936,1993-01-04,2018-12-31,6547,3.0,1.0,1.0,1.0,1944-01-17,2025-12-31,2002-01-02,2021-04-04,False,False,True,False
22111,1993-01-04,2018-12-31,6547,6.0,1.0,1.0,1.0,1944-09-25,2025-12-31,1998-12-01,2021-12-20,False,False,True,False
26403,1993-01-04,2018-12-31,6547,7.0,1.0,1.0,1.0,1957-11-12,2025-12-31,1996-02-12,2021-02-28,False,False,True,False
38703,1998-11-03,2018-12-31,5072,6.0,1.0,1.0,1.0,1962-12-10,2025-12-31,1998-11-03,2023-09-28,False,False,False,False
47896,2001-01-02,2018-12-31,4527,16.0,1.0,2.0,2.0,1969-03-05,2025-12-31,1996-04-01,2023-09-28,False,False,False,False
48071,1993-01-04,2000-12-29,2020,,,,,,,,,False,False,False,False
50024,1993-01-04,1998-11-02,1475,,,,,,,,,False,False,False,False
55976,1993-01-04,2018-12-31,6547,6.0,1.0,1.0,1.0,1972-11-20,2025-12-31,2002-01-02,2020-11-17,False,False,True,False
58827,1993-01-04,1998-09-30,1452,,,,,,,,,False,False,False,False
59328,1993-01-04,2018-12-31,6547,3.0,1.0,1.0,1.0,1972-12-14,2025-12-31,2004-06-10,2021-11-29,False,False,True,False
59408,1998-10-01,2018-12-31,5095,10.0,1.0,1.0,2.0,1972-12-14,2025-12-31,1998-10-01,2020-02-10,False,False,False,False
66181,1993-01-04,2018-12-31,6547,6.0,1.0,1.0,1.0,1981-09-22,2025-12-31,2002-01-02,2023-09-28,False,False,True,False
69032,1993-01-04,2018-12-31,4377,13.0,1.0,2.0,1.0,1986-03-21,2025-12-31,1997-06-02,2021-08-26,False,False,True,False
70519,1998-12-04,2018-12-31,5050,12.0,1.0,3.0,3.0,1986-10-29,2025-12-31,1994-01-03,2019-06-23,False,False,False,False
75817,1993-01-04,1997-06-12,1124,,,,,,,,,False,False,False,False
76076,1993-01-04,2018-12-31,6547,6.0,1.0,1.0,1.0,1990-02-16,2025-12-31,2000-08-01,2023-09-28,False,False,True,False
76947,1993-01-04,2002-04-25,2347,2.0,1.0,1.0,1.0,1991-06-05,2002-04-25,1993-06-24,2002-04-25,False,False,True,False
82621,1998-04-23,2005-12-16,1927,11.0,1.0,5.0,3.0,1995-11-07,2025-12-31,1995-11-07,2023-09-28,False,False,False,False
84398,1993-01-29,2018-12-31,6528,6.0,1.0,1.0,1.0,1993-01-29,2025-12-31,1993-01-29,2023-09-28,False,False,False,False
84788,1997-05-15,2018-12-31,5443,5.0,1.0,1.0,1.0,1997-05-15,2025-12-31,1997-05-15,2020-03-18,False,False,False,False
86580,1999-01-22,2018-12-31,5018,6.0,1.0,1.0,1.0,1999-01-22,2025-12-31,1999-01-22,2023-09-28,False,False,False,False
86755,1999-03-10,2018-12-31,3398,9.0,1.0,2.0,3.0,1999-03-10,2025-12-31,1999-03-10,2023-09-28,False,False,False,False
86868,1999-05-04,2018-12-31,4948,12.0,1.0,1.0,1.0,1999-05-04,2025-12-31,1999-05-04,2023-09-28,False,False,False,False
88222,2000-05-26,2018-12-31,4678,5.0,1.0,1.0,1.0,2000-05-26,2025-12-31,2000-05-26,2023-09-28,False,False,False,False
88614,2000-09-12,2006-08-03,1481,6.0,1.0,1.0,2.0,2000-09-12,2006-08-03,2000-09-12,2006-08-03,False,False,False,False
89393,2002-05-23,2018-12-31,4181,5.0,1.0,1.0,1.0,2002-05-23,2025-12-31,2002-05-23,2020-04-27,False,False,False,False
90319,2004-08-19,2018-12-31,3617,10.0,1.0,2.0,2.0,2004-08-19,2025-12-31,2004-08-19,2023-09-28,False,False,False,False
91233,2006-05-25,2018-12-31,3172,6.0,1.0,1.0,1.0,2006-05-25,2025-12-31,2006-05-25,2021-03-31,False,False,False,False
92611,2008-03-19,2018-12-31,2716,6.0,1.0,1.0,1.0,2008-03-19,2025-12-31,2008-03-19,2020-11-26,False,False,False,False
92655,1993-01-04,2018-12-31,6547,5.0,1.0,1.0,2.0,1984-10-17,2025-12-31,1994-07-01,2023-09-28,False,False,True,False
