PERMNO,names_records,unique_PERMCO,unique_Ticker,unique_CUSIP,first_security_beg,last_security_end,first_secinfo_start,last_secinfo_end
10104,5,1,1,1,1986-03-12,2025-12-31,1995-06-01,2023-06-26
10107,3,1,1,1,1986-03-13,2025-12-31,2004-06-10,2023-09-28
11308,4,1,1,1,1925-12-31,2025-12-31,2001-02-01,2023-09-28
11850,5,1,1,1,1925-12-31,2025-12-31,1999-12-01,2019-09-10
12060,7,1,1,1,1925-12-31,2025-12-31,2000-03-01,2021-08-01
13100,3,1,1,1,1925-12-31,2005-08-29,1996-08-26,2005-08-29
13856,4,1,1,1,1925-12-31,2025-12-31,2002-01-02,2023-09-28
14541,6,1,1,1,1925-12-31,2025-12-31,2001-10-10,2021-03-31
14542,4,1,1,2,2014-04-03,2025-12-31,2014-04-03,2023-09-28
14593,5,1,1,1,1980-12-12,2025-12-31,2004-06-10,2021-12-08
21936,3,1,1,1,1944-01-17,2025-12-31,2002-01-02,2021-04-04
22111,6,1,1,1,1944-09-25,2025-12-31,1998-12-01,2021-12-20
26403,7,1,1,1,1957-11-12,2025-12-31,1996-02-12,2021-02-28
38703,6,1,1,1,1962-12-10,2025-12-31,1998-11-03,2023-09-28
47896,16,1,2,2,1969-03-05,2025-12-31,1996-04-01,2023-09-28
55976,6,1,1,1,1972-11-20,2025-12-31,2002-01-02,2020-11-17
59328,3,1,1,1,1972-12-14,2025-12-31,2004-06-10,2021-11-29
59408,10,1,1,2,1972-12-14,2025-12-31,1998-10-01,2020-02-10
66181,6,1,1,1,1981-09-22,2025-12-31,2002-01-02,2023-09-28
69032,13,1,2,1,1986-03-21,2025-12-31,1997-06-02,2021-08-26
70519,12,1,3,3,1986-10-29,2025-12-31,1994-01-03,2019-06-23
76076,6,1,1,1,1990-02-16,2025-12-31,2000-08-01,2023-09-28
76947,2,1,1,1,1991-06-05,2002-04-25,1993-06-24,2002-04-25
82621,11,1,5,3,1995-11-07,2025-12-31,1995-11-07,2023-09-28
84398,6,1,1,1,1993-01-29,2025-12-31,1993-01-29,2023-09-28
84788,5,1,1,1,1997-05-15,2025-12-31,1997-05-15,2020-03-18
86580,6,1,1,1,1999-01-22,2025-12-31,1999-01-22,2023-09-28
86755,9,1,2,3,1999-03-10,2025-12-31,1999-03-10,2023-09-28
86868,12,1,1,1,1999-05-04,2025-12-31,1999-05-04,2023-09-28
88222,5,1,1,1,2000-05-26,2025-12-31,2000-05-26,2023-09-28
88614,6,1,1,2,2000-09-12,2006-08-03,2000-09-12,2006-08-03
89393,5,1,1,1,2002-05-23,2025-12-31,2002-05-23,2020-04-27
90319,10,1,2,2,2004-08-19,2025-12-31,2004-08-19,2023-09-28
91233,6,1,1,1,2006-05-25,2025-12-31,2006-05-25,2021-03-31
92611,6,1,1,1,2008-03-19,2025-12-31,2008-03-19,2020-11-26
92655,5,1,1,2,1984-10-17,2025-12-31,1994-07-01,2023-09-28
