PERMNO,PERMCO,SecurityBegDt,SecurityEndDt
10104,8045,1986-03-12,2025-12-31
10107,8048,1986-03-13,2025-12-31
11308,20468,1925-12-31,2025-12-31
11850,20678,1925-12-31,2025-12-31
12060,20792,1925-12-31,2025-12-31
13100,21172,1925-12-31,2005-08-29
13856,21384,1925-12-31,2025-12-31
14541,20440,1925-12-31,2025-12-31
14542,45483,2014-04-03,2025-12-31
14593,7,1980-12-12,2025-12-31
21936,21394,1944-01-17,2025-12-31
22111,21018,1944-09-25,2025-12-31
26403,20587,1957-11-12,2025-12-31
38703,21305,1962-12-10,2025-12-31
47896,20436,1969-03-05,2025-12-31
55976,21880,1972-11-20,2025-12-31
59328,2367,1972-12-14,2025-12-31
59408,3151,1972-12-14,2025-12-31
66181,5085,1981-09-22,2025-12-31
69032,21224,1986-03-21,2025-12-31
70519,20483,1986-10-29,2025-12-31
76076,10486,1990-02-16,2025-12-31
76947,10961,1991-06-05,2002-04-25
82621,14097,1995-11-07,2025-12-31
84398,46699,1993-01-29,2025-12-31
84788,15473,1997-05-15,2025-12-31
86580,16382,1999-01-22,2025-12-31
86755,35013,1999-03-10,2025-12-31
86868,35048,1999-05-04,2025-12-31
88222,37493,2000-05-26,2025-12-31
88614,39149,2000-09-12,2006-08-03
89393,43145,2002-05-23,2025-12-31
90319,45483,2004-08-19,2025-12-31
91233,50700,2006-05-25,2025-12-31
92611,52983,2008-03-19,2025-12-31
92655,7267,1984-10-17,2025-12-31
