permno,first_date,last_date,observations,price_observations,volume_observations,return_observations,two_sided_quote_observations,normal_quote_observations,crossed_quote_observations,execution_quote_ready_observations,liquidity_ready_observations,price_coverage_pct,volume_coverage_pct,quote_coverage_pct,execution_quote_ready_pct,liquidity_ready_pct
10104,1993-01-04,2018-12-31,6547,6547,6547,6547,6547,5729,237,5729,6547,100.0,100.0,100.0,87.50572781426608,100.0
10107,1993-01-04,2018-12-31,6547,6547,6547,6547,6547,5605,329,5605,6547,100.0,100.0,100.0,85.61173056361693,100.0
11308,1993-01-04,2018-12-31,6547,6547,6547,6547,6528,6440,29,6440,6547,100.0,100.0,99.70979074385214,98.3656636627463,100.0
11850,1999-12-01,2018-12-31,4801,4801,4801,4801,4793,4668,42,4668,4801,100.0,100.0,99.83336804832327,97.2297438033743,100.0
12060,1993-01-04,2018-12-31,6547,6547,6547,6547,6524,6390,23,6390,6547,100.0,100.0,99.64869405834733,97.60195509393616,100.0
13100,1993-01-04,1996-08-23,922,922,922,922,921,921,0,921,922,100.0,100.0,99.89154013015184,99.89154013015184,100.0
13856,1993-01-04,2018-12-31,6547,6547,6547,6547,6542,6478,25,6478,6547,100.0,100.0,99.92362914311899,98.94608217504201,100.0
14541,2001-10-10,2018-12-31,4336,4336,4336,4336,4334,4261,35,4261,4336,100.0,100.0,99.9538745387454,98.27029520295203,100.0
14542,2014-04-03,2018-12-31,1195,1195,1195,1194,1195,1194,0,1194,1195,100.0,100.0,100.0,99.9163179916318,100.0
14593,1993-01-04,2018-12-31,6547,6547,6547,6547,6547,5863,423,5863,6547,100.0,100.0,100.0,89.55246677867726,100.0
21936,1993-01-04,2018-12-31,6547,6547,6547,6547,6520,6416,24,6416,6547,100.0,100.0,99.58759737284252,97.99908354971743,100.0
22111,1993-01-04,2018-12-31,6547,6547,6547,6547,6534,6442,37,6442,6547,100.0,100.0,99.80143577210936,98.39621200549871,100.0
26403,1993-01-04,2018-12-31,6547,6547,6547,6547,6506,6430,20,6430,6547,100.0,100.0,99.37375897357569,98.21292194898426,100.0
38703,1998-11-03,2018-12-31,5072,5072,5072,5072,5064,4975,30,4975,5072,100.0,100.0,99.84227129337539,98.08753943217665,100.0
47896,2001-01-02,2018-12-31,4527,4527,4527,4527,4527,4423,33,4423,4527,100.0,100.0,100.0,97.70267285177822,100.0
55976,1993-01-04,2018-12-31,6547,6547,6547,6547,6527,6434,37,6434,6547,100.0,100.0,99.69451657247595,98.27401863448908,100.0
59328,1993-01-04,2018-12-31,6547,6547,6547,6547,6547,5619,340,5619,6547,100.0,100.0,100.0,85.82556896288376,100.0
59408,1998-10-01,2018-12-31,5095,5095,5095,5095,5089,4994,20,4994,5095,100.0,100.0,99.88223748773308,98.01766437684005,100.0
66181,1993-01-04,2018-12-31,6547,6547,6547,6547,6515,6420,30,6420,6547,100.0,100.0,99.51122651596151,98.06018023522223,100.0
69032,1993-01-04,2018-12-31,4377,4377,4377,4377,4376,4315,24,4315,4377,100.0,100.0,99.97715330134795,98.58350468357322,100.0
70519,1998-12-04,2018-12-31,5050,5050,5050,5050,5045,4941,22,4941,5050,100.0,100.0,99.9009900990099,97.84158415841584,100.0
76076,1993-01-04,2018-12-31,6547,6547,6547,6547,6547,5586,336,5586,6547,100.0,100.0,100.0,85.32152130746907,100.0
76947,1993-01-04,2002-04-25,2347,2347,2347,2347,2347,2347,0,2347,2347,100.0,100.0,100.0,100.0,100.0
82621,1998-04-23,2005-12-16,1927,1926,1926,1926,1610,1609,1,1609,1926,99.94810586403736,99.94810586403736,83.54955889984433,83.49766476388169,99.94810586403736
84788,1997-05-15,2018-12-31,5443,5443,5443,5442,5443,4812,363,4812,5443,100.0,100.0,100.0,88.4071284218262,100.0
86580,1999-01-22,2018-12-31,5018,5018,5018,5017,5018,4510,231,4510,5018,100.0,100.0,100.0,89.87644479872459,100.0
86868,1999-05-04,2018-12-31,4948,4948,4948,4947,4939,4855,48,4855,4948,100.0,100.0,99.8181083265966,98.12045270816492,100.0
88614,2000-09-12,2006-08-03,1481,1481,1481,1480,1419,1408,5,1408,1481,100.0,100.0,95.81363943281566,95.0708980418636,100.0
89393,2002-05-23,2018-12-31,4181,4181,4181,4180,4181,4014,87,4014,4181,100.0,100.0,100.0,96.00574025352786,100.0
90319,2004-08-19,2018-12-31,3617,3617,3617,3616,3617,3402,179,3402,3617,100.0,100.0,100.0,94.05584738733758,100.0
91233,2006-05-25,2018-12-31,3172,3172,3172,3171,3172,3153,14,3153,3172,100.0,100.0,100.0,99.40100882723833,100.0
92611,2008-03-19,2018-12-31,2716,2716,2716,2715,2716,2694,6,2694,2716,100.0,100.0,100.0,99.1899852724595,100.0
92655,1993-01-04,2018-12-31,6547,6547,6547,6547,6387,6317,30,6317,6547,100.0,100.0,97.55613257980754,96.48694058347334,100.0
