PERMNO,PERMCO,observations,first_date,last_date,nonmissing_price,nonmissing_volume,avg_daily_volume,median_daily_volume,avg_market_cap,median_market_cap
10104,8045,6547,1993-01-04,2018-12-31,6547,6547,24857103.96074538,20973971.0,100030964.94744463,93358072.08
10107,8048,6547,1993-01-04,2018-12-31,6547,6547,39724382.23812433,35602644.0,282884017.2064671,274380800.0
11260,20446,1483,1993-01-04,1998-11-12,1483,1483,2585016.7033041134,2094600.0,21087155.037983816,20709917.75
11308,20468,6547,1993-01-04,2018-12-31,6547,6547,7755545.271422026,6544898.0,135510678.81723994,132605631.3
11850,20678,4801,1999-12-01,2018-12-31,4801,4801,16512401.365340553,13710900.0,352212551.26492393,352859762.3
12060,20792,6547,1993-01-04,2018-12-31,6547,6547,33807156.837177336,23911600.0,256522897.2583122,256981172.6
13100,21172,922,1993-01-04,1996-08-23,922,922,522633.9479392625,479600.0,10125093.500357917,10037625.5
13856,21384,6547,1993-01-04,2018-12-31,6547,6547,4670613.781273866,4160900.0,90737629.3200947,91360031.52
14541,20440,4336,2001-10-10,2018-12-31,4336,4336,7720031.386070111,6868444.0,167538340.12588328,174783082.60000002
14542,45483,1195,2014-04-03,2018-12-31,1195,1195,1805558.490376569,1575262.0,276320990.2093724,263561448.2
14593,7,6547,1993-01-04,2018-12-31,6547,6547,17863992.061554912,12489145.0,215494337.35119444,51030480.0
21936,21394,6547,1993-01-04,2018-12-31,6547,6547,23424939.326714527,19604400.0,159786124.94851077,178702756.0
22111,21018,6547,1993-01-04,2018-12-31,6547,6547,7101999.99908355,6524173.0,173126548.88540095,172344155.8
26403,20587,6547,1993-01-04,2018-12-31,6547,6547,7350028.438979685,6698783.0,76726390.94657859,61675054.4
38703,21305,5072,1998-11-03,2018-12-31,5072,5072,20849561.046135645,13645653.5,151039888.62396294,120167474.2
47896,20436,4527,2001-01-02,2018-12-31,4527,4527,22465322.168765187,15186858.0,171831191.30966645,157391710.0
48071,21222,2020,1993-01-04,2000-12-29,2020,2020,850354.3346534653,686550.0,17424935.34764356,16822712.63
50024,21902,1475,1993-01-04,1998-11-02,1475,1475,275583.593220339,231300.0,16025210.240054237,10267102.25
55976,21880,6547,1993-01-04,2018-12-31,6547,6547,9242639.113639835,7625330.0,189363956.76262867,207556573.8
58827,437,1452,1993-01-04,1998-09-30,1452,1452,1460261.9214876033,1286900.0,29301317.67960055,22965665.875
59328,2367,6547,1993-01-04,2018-12-31,6547,6547,39965490.82648541,35004283.0,140485643.83735147,131158170.0
59408,3151,5095,1998-10-01,2018-12-31,5095,5095,80977750.90814523,49644578.0,152151650.08890086,144479365.3
66181,5085,6547,1993-01-04,2018-12-31,6547,6547,7863201.782801283,6038891.0,84441121.04337406,78294731.58
69032,21224,4377,1993-01-04,2018-12-31,4377,4377,12170186.629655015,9689400.0,44055106.051715784,43242830.91
70519,20483,5050,1998-12-04,2018-12-31,5050,5050,86276325.85663366,17796168.5,170384772.97616833,164879884.4
75817,22112,1124,1993-01-04,1997-06-12,1124,1124,95972.0640569395,48900.0,746056.8452313166,665187.44
76076,10486,6547,1993-01-04,2018-12-31,6547,6547,38460576.18573392,33831984.0,125019643.02404308,123704880.0
76947,10961,2347,1993-01-04,2002-04-25,2347,2347,23367.838943331913,10620.0,38682.19835534725,33935.63
82621,14097,1927,1998-04-23,2005-12-16,1926,1926,40856.730529595014,16500.0,17037.11694184839,14315.669999999998
84398,46699,6528,1993-01-29,2018-12-31,6528,6528,84649303.7365196,56310750.0,74854172.98852634,54139174.555
84788,15473,5443,1997-05-15,2018-12-31,5443,5443,6615645.989711557,5574989.0,118745647.02467206,30656332.8
86580,16382,5018,1999-01-22,2018-12-31,5018,5018,10886300.91131925,9005301.5,19100376.70304105,8212186.36
86755,35013,3398,1999-03-10,2018-12-31,3398,3398,48931414.59888169,40088701.0,30432132.4417422,30770629.75
86868,35048,4948,1999-05-04,2018-12-31,4948,4948,5639280.498787389,3745657.5,63717699.88703719,65914620.03
88222,37493,4678,2000-05-26,2018-12-31,4678,4678,36896231.27640017,31132949.5,15727886.870277897,12538550.0
88614,39149,1481,2000-09-12,2006-08-03,1481,1481,586102.099932478,328600.0,3090815.0907967594,2118179.14
89393,43145,4181,2002-05-23,2018-12-31,4181,4181,4655131.447022243,2568959.0,21822281.719021764,3910100.65
90319,45483,3617,2004-08-19,2018-12-31,3617,3617,4174709.3160077413,2769815.0,165805605.31247717,151923269.2
91233,50700,3172,2006-05-25,2018-12-31,3172,3172,2889123.0920554856,2560975.5,68599975.75292245,54037326.0
92611,52983,2716,2008-03-19,2018-12-31,2716,2716,6804120.350147275,5698316.0,102635900.18283506,95853731.055
92655,7267,6547,1993-01-04,2018-12-31,6547,6547,4252165.592637849,2955289.0,54441732.19992211,36794331.6
