permno,permco,ticker,cusip,issuernm,securitytype,securitysubtype,sharetype,siccd,primaryexch,securitybegdt,securityenddt,research_first_date,research_last_date,daily_observations,price_observations,volume_observations,return_observations,two_sided_quote_observations,crossed_quote_observations,large_return_outlier_observations,large_price_jump_observations,price_coverage_pct,volume_coverage_pct,quote_coverage_pct,return_coverage_pct
10104,8045.0,ORCL,68389X10,ORACLE CORP,EQTY,COM,NS,7370.0,Q,1986-03-12,2025-12-31,1993-01-04,2018-12-31,6547,6547,6547,6547,6547,237,0,1,100.0,100.0,100.0,100.0
10107,8048.0,MSFT,59491810,MICROSOFT CORP,EQTY,COM,NS,7370.0,Q,1986-03-13,2025-12-31,1993-01-04,2018-12-31,6547,6547,6547,6547,6547,329,0,0,100.0,100.0,100.0,100.0
11308,20468.0,KO,19121610,COCA COLA CO,EQTY,COM,NS,2086.0,N,1925-12-31,2025-12-31,1993-01-04,2018-12-31,6547,6547,6547,6547,6528,29,0,1,100.0,100.0,99.70979074385214,100.0
11850,20678.0,XOM,30231G10,EXXON MOBIL CORP,EQTY,COM,NS,2911.0,N,1925-12-31,2025-12-31,1999-12-01,2018-12-31,4801,4801,4801,4801,4793,42,0,0,100.0,100.0,99.83336804832327,100.0
12060,20792.0,GE,36960410,GENERAL ELECTRIC CO,EQTY,COM,NS,3641.0,N,1925-12-31,2025-12-31,1993-01-04,2018-12-31,6547,6547,6547,6547,6524,23,0,2,100.0,100.0,99.64869405834733,100.0
13100,21172.0,MAY,57777810,MAY DEPARTMENT STORES CO,EQTY,COM,NS,5311.0,N,1925-12-31,2005-08-29,1993-01-04,1996-08-23,922,922,922,922,921,0,0,0,100.0,100.0,99.89154013015184,100.0
13856,21384.0,PEP,71344810,PEPSICO INC,EQTY,COM,NS,2086.0,N,1925-12-31,2025-12-31,1993-01-04,2018-12-31,6547,6547,6547,6547,6542,25,0,0,100.0,100.0,99.92362914311899,100.0
14541,20440.0,CVX,16676410,CHEVRONTEXACO CORP,EQTY,COM,NS,2911.0,N,1925-12-31,2025-12-31,2001-10-10,2018-12-31,4336,4336,4336,4336,4334,35,0,0,100.0,100.0,99.9538745387454,100.0
14542,45483.0,GOOG,38259P70,GOOGLE INC,EQTY,COM,NS,7375.0,Q,2014-04-03,2025-12-31,2014-04-03,2018-12-31,1195,1195,1195,1194,1195,0,0,0,100.0,100.0,100.0,99.9163179916318
14593,7.0,AAPL,03783310,APPLE COMPUTER INC,EQTY,COM,NS,3573.0,Q,1980-12-12,2025-12-31,1993-01-04,2018-12-31,6547,6547,6547,6547,6547,423,1,2,100.0,100.0,100.0,100.0
21936,21394.0,PFE,71708110,PFIZER INC,EQTY,COM,NS,2834.0,N,1944-01-17,2025-12-31,1993-01-04,2018-12-31,6547,6547,6547,6547,6520,24,0,1,100.0,100.0,99.58759737284252,100.0
22111,21018.0,JNJ,47816010,JOHNSON & JOHNSON,EQTY,COM,NS,2834.0,N,1944-09-25,2025-12-31,1993-01-04,2018-12-31,6547,6547,6547,6547,6534,37,0,1,100.0,100.0,99.80143577210936,100.0
26403,20587.0,DIS,25468710,DISNEY WALT CO,EQTY,COM,NS,7812.0,N,1957-11-12,2025-12-31,1993-01-04,2018-12-31,6547,6547,6547,6547,6506,20,0,1,100.0,100.0,99.37375897357569,100.0
38703,21305.0,WFC,94974610,WELLS FARGO & CO NEW,EQTY,COM,NS,6021.0,N,1962-12-10,2025-12-31,1998-11-03,2018-12-31,5072,5072,5072,5072,5064,30,0,1,100.0,100.0,99.84227129337539,100.0
47896,20436.0,CMB,16161A10,CHASE MANHATTAN CORP NEW,EQTY,COM,NS,6712.0,N,1969-03-05,2025-12-31,2001-01-02,2018-12-31,4527,4527,4527,4527,4527,33,0,0,100.0,100.0,100.0,100.0
55976,21880.0,WMT,93114210,WAL MART STORES INC,EQTY,COM,NS,5331.0,N,1972-11-20,2025-12-31,1993-01-04,2018-12-31,6547,6547,6547,6547,6527,37,0,0,100.0,100.0,99.69451657247595,100.0
59328,2367.0,INTC,45814010,INTEL CORP,EQTY,COM,NS,3679.0,Q,1972-12-14,2025-12-31,1993-01-04,2018-12-31,6547,6547,6547,6547,6547,340,0,1,100.0,100.0,100.0,100.0
59408,3151.0,BAC,06605F10,BANKAMERICA CORP NEW,EQTY,COM,NS,6021.0,N,1972-12-14,2025-12-31,1998-10-01,2018-12-31,5095,5095,5095,5095,5089,20,0,0,100.0,100.0,99.88223748773308,100.0
66181,5085.0,HD,43707610,HOME DEPOT INC,EQTY,COM,NS,5211.0,N,1981-09-22,2025-12-31,1993-01-04,2018-12-31,6547,6547,6547,6547,6515,30,0,0,100.0,100.0,99.51122651596151,100.0
69032,21224.0,MWD,61744644,MORGAN STANLEY DEAN WITTER D & C,EQTY,COM,NS,6211.0,N,1986-03-21,2025-12-31,1993-01-04,2018-12-31,4377,4377,4377,4377,4376,24,1,2,100.0,100.0,99.97715330134795,100.0
70519,20483.0,TRV,89419010,TRAVELERS INC,EQTY,COM,NS,6211.0,N,1986-10-29,2025-12-31,1998-12-04,2018-12-31,5050,5050,5050,5050,5045,22,1,2,100.0,100.0,99.9009900990099,100.0
76076,10486.0,CSCO,17275R10,CISCO SYSTEMS INC,EQTY,COM,NS,3674.0,Q,1990-02-16,2025-12-31,1993-01-04,2018-12-31,6547,6547,6547,6547,6547,336,0,3,100.0,100.0,100.0,100.0
76947,10961.0,META,59139810,METATEC CORP,EQTY,COM,NS,3690.0,Q,1991-06-05,2002-04-25,1993-01-04,2002-04-25,2347,2347,2347,2347,2347,0,2,2,100.0,100.0,100.0,100.0
82621,14097.0,USOS,91232910,U S OPPORTUNITY SEARCH INC,EQTY,COM,NS,6710.0,Q,1995-11-07,2025-12-31,1998-04-23,2005-12-16,1927,1926,1926,1926,1610,1,4,5,99.94810586403736,99.94810586403736,83.54955889984433,99.94810586403736
84788,15473.0,AMZN,02313510,AMAZON COM INC,EQTY,COM,NS,7370.0,Q,1997-05-15,2025-12-31,1997-05-15,2018-12-31,5443,5443,5443,5442,5443,363,0,1,100.0,100.0,100.0,99.98162777879845
86580,16382.0,NVDA,67066G10,NVIDIA CORP,EQTY,COM,NS,3670.0,Q,1999-01-22,2025-12-31,1999-01-22,2018-12-31,5018,5018,5018,5017,5018,231,0,3,100.0,100.0,100.0,99.98007174172977
86868,35048.0,GS,38141G10,GOLDMAN SACHS GROUP INC,EQTY,COM,NS,6211.0,N,1999-05-04,2025-12-31,1999-05-04,2018-12-31,4948,4948,4948,4947,4939,48,0,0,100.0,100.0,99.8181083265966,99.9797898140663
88614,39149.0,V,92851S10,VIVENDI,EQTY,COM,AD,4813.0,N,2000-09-12,2006-08-03,2000-09-12,2006-08-03,1481,1481,1481,1480,1419,5,0,1,100.0,100.0,95.81363943281566,99.932478055368
89393,43145.0,NFLX,64110L10,NETFLIX INC,EQTY,COM,NS,7841.0,Q,2002-05-23,2025-12-31,2002-05-23,2018-12-31,4181,4181,4181,4180,4181,87,0,1,100.0,100.0,100.0,99.97608227696723
