raw_date_string,raw_correct_date,raw_dayfirst_false,raw_dayfirst_true,clean_date,symbol
06/04/1993,1993-04-06,1993-06-04,1993-04-06,1993-06-04,AAPL
07/04/1993,1993-04-07,1993-07-04,1993-04-07,1993-07-04,AAPL
08/04/1993,1993-04-08,1993-08-04,1993-04-08,1993-08-04,AAPL
12/04/1993,1993-04-12,1993-12-04,1993-04-12,1993-12-04,AAPL
13/04/1993,1993-04-13,,1993-04-13,,AAPL
14/04/1993,1993-04-14,,1993-04-14,,AAPL
15/04/1993,1993-04-15,,1993-04-15,,AAPL
16/04/1993,1993-04-16,,1993-04-16,,AAPL
19/04/1993,1993-04-19,,1993-04-19,,AAPL
20/04/1993,1993-04-20,,1993-04-20,,AAPL
21/04/1993,1993-04-21,,1993-04-21,,AAPL
22/04/1993,1993-04-22,,1993-04-22,,AAPL
23/04/1993,1993-04-23,,1993-04-23,,AAPL
26/04/1993,1993-04-26,,1993-04-26,,AAPL
27/04/1993,1993-04-27,,1993-04-27,,AAPL
28/04/1993,1993-04-28,,1993-04-28,,AAPL
29/04/1993,1993-04-29,,1993-04-29,,AAPL
30/04/1993,1993-04-30,,1993-04-30,,AAPL
03/05/1993,1993-05-03,1993-03-05,1993-05-03,1993-03-05,AAPL
04/05/1993,1993-05-04,1993-04-05,1993-05-04,1993-04-05,AAPL
06/05/1993,1993-05-06,1993-06-05,1993-05-06,1993-06-05,AAPL
07/05/1993,1993-05-07,1993-07-05,1993-05-07,1993-07-05,AAPL
10/05/1993,1993-05-10,1993-10-05,1993-05-10,1993-10-05,AAPL
11/05/1993,1993-05-11,1993-11-05,1993-05-11,1993-11-05,AAPL
12/05/1993,1993-05-12,1993-12-05,1993-05-12,1993-12-05,AAPL
13/05/1993,1993-05-13,,1993-05-13,,AAPL
14/05/1993,1993-05-14,,1993-05-14,,AAPL
17/05/1993,1993-05-17,,1993-05-17,,AAPL
18/05/1993,1993-05-18,,1993-05-18,,AAPL
19/05/1993,1993-05-19,,1993-05-19,,AAPL
20/05/1993,1993-05-20,,1993-05-20,,AAPL
21/05/1993,1993-05-21,,1993-05-21,,AAPL
24/05/1993,1993-05-24,,1993-05-24,,AAPL
25/05/1993,1993-05-25,,1993-05-25,,AAPL
26/05/1993,1993-05-26,,1993-05-26,,AAPL
27/05/1993,1993-05-27,,1993-05-27,,AAPL
28/05/1993,1993-05-28,,1993-05-28,,AAPL
01/06/1993,1993-06-01,1993-01-06,1993-06-01,1993-01-06,AAPL
02/06/1993,1993-06-02,1993-02-06,1993-06-02,1993-02-06,AAPL
03/06/1993,1993-06-03,1993-03-06,1993-06-03,1993-03-06,AAPL
04/06/1993,1993-06-04,1993-04-06,1993-06-04,1993-04-06,AAPL
07/06/1993,1993-06-07,1993-07-06,1993-06-07,1993-07-06,AAPL
08/06/1993,1993-06-08,1993-08-06,1993-06-08,1993-08-06,AAPL
09/06/1993,1993-06-09,1993-09-06,1993-06-09,1993-09-06,AAPL
10/06/1993,1993-06-10,1993-10-06,1993-06-10,1993-10-06,AAPL
11/06/1993,1993-06-11,1993-11-06,1993-06-11,1993-11-06,AAPL
14/06/1993,1993-06-14,,1993-06-14,,AAPL
15/06/1993,1993-06-15,,1993-06-15,,AAPL
16/06/1993,1993-06-16,,1993-06-16,,AAPL
17/06/1993,1993-06-17,,1993-06-17,,AAPL
18/06/1993,1993-06-18,,1993-06-18,,AAPL
21/06/1993,1993-06-21,,1993-06-21,,AAPL
22/06/1993,1993-06-22,,1993-06-22,,AAPL
23/06/1993,1993-06-23,,1993-06-23,,AAPL
24/06/1993,1993-06-24,,1993-06-24,,AAPL
25/06/1993,1993-06-25,,1993-06-25,,AAPL
28/06/1993,1993-06-28,,1993-06-28,,AAPL
29/06/1993,1993-06-29,,1993-06-29,,AAPL
30/06/1993,1993-06-30,,1993-06-30,,AAPL
01/07/1993,1993-07-01,1993-01-07,1993-07-01,1993-01-07,AAPL
02/07/1993,1993-07-02,1993-02-07,1993-07-02,1993-02-07,AAPL
06/07/1993,1993-07-06,1993-06-07,1993-07-06,1993-06-07,AAPL
08/07/1993,1993-07-08,1993-08-07,1993-07-08,1993-08-07,AAPL
09/07/1993,1993-07-09,1993-09-07,1993-07-09,1993-09-07,AAPL
12/07/1993,1993-07-12,1993-12-07,1993-07-12,1993-12-07,AAPL
13/07/1993,1993-07-13,,1993-07-13,,AAPL
14/07/1993,1993-07-14,,1993-07-14,,AAPL
15/07/1993,1993-07-15,,1993-07-15,,AAPL
16/07/1993,1993-07-16,,1993-07-16,,AAPL
19/07/1993,1993-07-19,,1993-07-19,,AAPL
20/07/1993,1993-07-20,,1993-07-20,,AAPL
21/07/1993,1993-07-21,,1993-07-21,,AAPL
22/07/1993,1993-07-22,,1993-07-22,,AAPL
23/07/1993,1993-07-23,,1993-07-23,,AAPL
26/07/1993,1993-07-26,,1993-07-26,,AAPL
27/07/1993,1993-07-27,,1993-07-27,,AAPL
28/07/1993,1993-07-28,,1993-07-28,,AAPL
29/07/1993,1993-07-29,,1993-07-29,,AAPL
30/07/1993,1993-07-30,,1993-07-30,,AAPL
02/08/1993,1993-08-02,1993-02-08,1993-08-02,1993-02-08,AAPL
03/08/1993,1993-08-03,1993-03-08,1993-08-03,1993-03-08,AAPL
04/08/1993,1993-08-04,1993-04-08,1993-08-04,1993-04-08,AAPL
05/08/1993,1993-08-05,1993-05-08,1993-08-05,1993-05-08,AAPL
