date,violation_count,mean_bid_minus_ask,max_abs_bid_ask_inversion,quote_set
1993-02-12,2,0.4375,0.5,1pm
1993-04-11,2,0.5625,0.875,1pm
1993-07-10,1,0.125,0.125,1pm
1993-08-09,2,1.4375,1.625,1pm
1993-08-11,1,1.625,1.625,1pm
1993-09-11,1,0.5,0.5,1pm
1993-10-12,1,0.5,0.5,1pm
1994-01-11,1,0.125,0.125,1pm
1994-01-12,1,0.375,0.375,1pm
1994-02-03,1,0.125,0.125,1pm
1994-03-01,2,0.4375,0.625,1pm
1994-03-06,1,0.875,0.875,1pm
1994-03-11,1,0.125,0.125,1pm
1994-04-08,1,0.75,0.75,1pm
1994-05-01,1,0.125,0.125,1pm
1994-05-08,1,0.125,0.125,1pm
1994-05-10,1,0.375,0.375,1pm
1994-06-10,1,0.25,0.25,1pm
1994-06-12,1,0.375,0.375,1pm
1994-07-01,1,0.875,0.875,1pm
1994-07-03,1,0.25,0.25,1pm
1994-07-10,2,0.3125,0.5,1pm
1994-07-12,1,0.25,0.25,1pm
1994-08-02,1,0.25,0.25,1pm
1994-08-07,1,0.25,0.25,1pm
1994-08-08,1,0.75,0.75,1pm
1994-08-11,1,0.75,0.75,1pm
1994-09-06,1,0.875,0.875,1pm
1994-10-01,1,1.125,1.125,1pm
1994-10-06,1,0.125,0.125,1pm
1994-11-10,2,1.125,1.25,1pm
1995-01-02,1,0.375,0.375,1pm
1995-01-06,1,0.375,0.375,1pm
1995-01-11,1,0.375,0.375,1pm
1995-02-02,1,0.375,0.375,1pm
1995-03-08,1,0.375,0.375,1pm
1995-03-11,1,0.25,0.25,1pm
1995-04-04,1,0.25,0.25,1pm
1995-04-10,1,0.375,0.375,1pm
1995-05-10,1,0.5,0.5,1pm
1995-05-12,1,0.5,0.5,1pm
1995-06-01,1,0.375,0.375,1pm
1995-06-04,2,0.625,1.125,1pm
1995-06-06,2,0.625,1.0,1pm
1995-06-09,1,0.375,0.375,1pm
1995-06-10,2,0.5,0.625,1pm
1995-06-12,1,0.25,0.25,1pm
1995-07-03,1,1.25,1.25,1pm
1995-07-09,1,0.625,0.625,1pm
