symbol,violation_count,mean_bid_minus_ask,median_bid_minus_ask,max_abs_bid_ask_inversion,quote_set
AAPL,386,0.21585492227979267,0.125,1.75,1pm
AMZN,293,0.39962457337883955,0.125,14.0,1pm
BAC,12,0.15604166666666805,0.030000000000001137,0.625,1pm
C,15,0.12566666666666676,0.020000000000003126,0.8200000000000003,1pm
CVX,8,0.04250000000000309,0.015000000000000568,0.20000000000000284,1pm
DIS,15,0.0650000000000001,0.030000000000001137,0.3099999999999987,1pm
GE,24,0.0990625000000011,0.015000000000002345,0.8599999999999994,1pm
GOOG,4,11.399999999999977,0.15499999999997272,45.27999999999997,1pm
GS,8,0.20468749999999858,0.03499999999999659,1.3400000000000034,1pm
HD,10,0.3259999999999998,0.07124999999999915,1.625,1pm
INTC,518,0.3733011583011582,0.1875,5.0,1pm
JNJ,11,0.13613636363636383,0.0625,0.480000000000004,1pm
JPM,15,0.33400000000000035,0.020000000000003126,1.5399999999999991,1pm
KO,8,0.30343750000000114,0.1875,0.875,1pm
MA,2,0.25,0.25,0.375,1pm
MS,7,0.4385714285714276,0.125,1.375,1pm
NFLX,2,0.07000000000000206,0.07000000000000206,0.13000000000000256,1pm
NVDA,257,0.40371595330739307,0.240000000000002,4.219999999999999,1pm
ORCL,395,0.23213924050632917,0.125,3.5,1pm
PEP,4,0.0356249999999978,0.03499999999999659,0.0625,1pm
PFE,13,0.05730769230769102,0.00999999999999801,0.5,1pm
QQQ,54,0.037638888888888736,0.010000000000005116,0.9399999999999977,1pm
SPY,87,0.03708333333333277,0.010000000000005116,1.3700000000000045,1pm
UNH,3,0.2133333333333335,0.1799999999999926,0.45000000000000284,1pm
V,7,0.08642857142857048,0.00999999999999801,0.25,1pm
WFC,12,0.09020833333333418,0.0400000000000027,0.36999999999999744,1pm
WMT,11,0.11909090909090994,0.020000000000003126,0.5,1pm
XOM,17,0.042500000000000634,0.010000000000005116,0.39000000000000057,1pm
AAPL,882,0.16870181405895687,0.0625,3.1875,c1
AMZN,678,0.34652839233038346,0.0625,14.625,c1
BAC,38,0.20500000000000068,0.03999999999999915,1.1599999999999966,c1
C,44,0.05835227272727242,0.010000000000005116,0.5,c1
CVX,21,0.021428571428570548,0.010000000000005116,0.0800000000000054,c1
DIS,27,0.07212962962962982,0.030000000000001137,0.6000000000000014,c1
GE,64,0.11570312500000013,0.020000000000003126,1.75,c1
GOOG,182,0.366703296703298,0.06999999999999318,45.30000000000001,c1
GS,48,0.10885416666666729,0.030000000000001137,1.375,c1
HD,39,0.15647435897435977,0.030000000000001137,2.625,c1
INTC,997,0.3440045135406219,0.125,7.5,c1
JNJ,30,0.0787499999999992,0.019999999999999574,0.6875,c1
JPM,34,0.25727941176470587,0.02499999999999858,1.875,c1
KO,28,0.12857142857142861,0.01999999999999602,1.125,c1
MA,7,0.08357142857142767,0.06999999999999318,0.21999999999999886,c1
MS,15,0.3423333333333346,0.125,1.25,c1
NFLX,73,0.06794520547945225,0.019999999999999574,1.7199999999999989,c1
NVDA,522,0.26561781609195395,0.0625,3.4375,c1
ORCL,667,0.23483133433283362,0.07000000000000028,2.875,c1
PEP,20,0.07124999999999951,0.01999999999999602,0.6099999999999994,c1
PFE,45,0.04288888888888888,0.010000000000005116,0.375,c1
QQQ,199,0.026981783919598178,0.010000000000001563,0.46875,c1
SPY,255,0.035691176470587706,0.01999999999999602,0.8499999999999943,c1
UNH,21,0.04035714285714286,0.020000000000003126,0.375,c1
V,6,0.058333333333331794,0.025000000000000355,0.22999999999999687,c1
WFC,24,0.2648958333333325,0.019999999999997797,3.5,c1
WMT,49,0.07142857142857142,0.030000000000001137,0.75,c1
XOM,34,0.0538235294117657,0.029999999999997584,0.4375,c1
AAPL,766,0.18842689295039167,0.0625,3.1875,4pm
AMZN,680,0.3458952205882354,0.0625,14.625,4pm
BAC,68,0.12632352941176445,0.02000000000000135,1.1599999999999966,4pm
C,52,0.05360576923076899,0.010000000000005116,0.5,4pm
CVX,61,0.040327868852459266,0.030000000000001137,0.30000000000001137,4pm
DIS,54,0.049537037037036755,0.010000000000001563,0.6000000000000014,4pm
GE,79,0.09724683544303797,0.019999999999999574,1.75,4pm
GOOG,115,0.5231304347826066,0.06999999999999318,45.20999999999998,4pm
GS,78,0.09705128205128496,0.030000000000001137,1.375,4pm
HD,67,0.09604477611940344,0.019999999999999574,2.625,4pm
INTC,983,0.3476093591047813,0.125,7.5,4pm
JNJ,60,0.05787500000000042,0.030000000000001137,0.6875,4pm
JPM,83,0.12213855421686738,0.01999999999999602,1.875,4pm
KO,57,0.0759649122807016,0.020000000000003126,1.125,4pm
MA,17,0.0908823529411749,0.060000000000002274,0.44000000000002615,4pm
MS,49,0.11948979591836834,0.019999999999999574,1.25,4pm
NFLX,84,0.0633333333333335,0.025000000000001243,1.7199999999999989,4pm
NVDA,483,0.28324016563147,0.0899999999999963,3.4375,4pm
ORCL,688,0.22821584302325584,0.0625,2.875,4pm
PEP,46,0.047500000000000514,0.030000000000001137,0.6099999999999994,4pm
PFE,54,0.040231481481481604,0.01000000000000334,0.375,4pm
QQQ,199,0.031878140703517625,0.010000000000001563,0.875,4pm
SPY,326,0.03516487730061299,0.01999999999999602,0.8400000000000034,4pm
UNH,34,0.04463235294117736,0.02000000000000668,0.375,4pm
V,8,0.05124999999999913,0.025000000000000355,0.22999999999999687,4pm
WFC,39,0.17352564102564072,0.01999999999999602,3.5,4pm
WMT,59,0.06406779661017012,0.030000000000001137,0.75,4pm
XOM,61,0.057868852459017114,0.03999999999999915,0.4375,4pm
AAPL,255,0.45546078431372555,0.25,8.5,last
AMZN,148,1.279662162162162,0.3125,14.625,last
BAC,391,0.10828644501278774,0.0625,0.9399999999999977,last
C,462,0.1027489177489178,0.0625,1.625,last
CVX,249,0.08694779116465798,0.04999999999999716,1.8100000000000023,last
DIS,347,0.1440850144092219,0.0625,1.875,last
GE,666,0.09438438438438435,0.04999999999999716,1.875,last
GOOG,2,0.1699999999999875,0.1699999999999875,0.32999999999992724,last
GS,293,0.5566467576791808,0.15000000000000568,60.125,last
HD,451,0.09855875831485589,0.05999999999999872,1.7199999999999989,last
INTC,506,0.7098468379446641,0.375,25.1875,last
JNJ,357,0.123403361344538,0.0625,1.9375,last
JPM,436,0.17889908256880738,0.07499999999999929,9.75,last
