record_type,chunk_number,column,rows_input,rows_output,rows_removed,original_missing_count,cleaned_missing_count,date_parse_failures,time_parse_failures,numeric_conversion_failures,transformation
CHUNK,1.0,,100000,100000,0,,,0,0,0,CHUNK_NORMALIZATION_ONLY
CHUNK,2.0,,22441,22441,0,,,0,0,0,CHUNK_NORMALIZATION_ONLY
FIELD_TOTAL,,date,122441,122441,0,0.0,0.0,0,0,0,PARSED_DD_MM_YYYY_AND_PRESERVED_SOURCE
FIELD_TOTAL,,symbol,122441,122441,0,0.0,0.0,0,0,0,STRIPPED_AND_UPPERCASED_IN_SEPARATE_FIELD
FIELD_TOTAL,,QTime_1pm,122441,122441,0,3.0,3.0,0,0,0,NORMALIZED_TIME_ONLY_AND_PRESERVED_SOURCE
FIELD_TOTAL,,BB_1pm,122441,122441,0,3.0,3.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,BO_1pm,122441,122441,0,3.0,3.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,MID_1pm,122441,122441,0,3.0,3.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,QTime_c1,122441,122441,0,1.0,1.0,0,0,0,NORMALIZED_TIME_ONLY_AND_PRESERVED_SOURCE
FIELD_TOTAL,,BB_c1,122441,122441,0,1.0,1.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,BO_c1,122441,122441,0,1.0,1.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,Mid_c1,122441,122441,0,1.0,1.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,QTime_4pm,122441,122441,0,1.0,1.0,0,0,0,NORMALIZED_TIME_ONLY_AND_PRESERVED_SOURCE
FIELD_TOTAL,,BB_4pm,122441,122441,0,1.0,1.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,BO_4pm,122441,122441,0,1.0,1.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,Mid_4pm,122441,122441,0,1.0,1.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,LQTime,122441,122441,0,0.0,0.0,0,0,0,NORMALIZED_TIME_ONLY_AND_PRESERVED_SOURCE
FIELD_TOTAL,,LBB,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,LBO,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,LMid,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,OTime,122441,122441,0,0.0,0.0,0,0,0,NORMALIZED_TIME_ONLY_AND_PRESERVED_SOURCE
FIELD_TOTAL,,OPrice,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,DTime,122441,122441,0,2.0,2.0,0,0,0,NORMALIZED_TIME_ONLY_AND_PRESERVED_SOURCE
FIELD_TOTAL,,DPrice,122441,122441,0,2.0,2.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,Vol_oc,122441,122441,0,1.0,1.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,Value_oc,122441,122441,0,1.0,1.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,LTTime,122441,122441,0,7982.0,7982.0,0,0,0,NORMALIZED_TIME_ONLY_AND_PRESERVED_SOURCE
FIELD_TOTAL,,LPrice,122441,122441,0,7982.0,7982.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,TTime_1pm,122441,122441,0,148.0,148.0,0,0,0,NORMALIZED_TIME_ONLY_AND_PRESERVED_SOURCE
FIELD_TOTAL,,Price_1pm,122441,122441,0,148.0,148.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,TTime_4pm,122441,122441,0,2.0,2.0,0,0,0,NORMALIZED_TIME_ONLY_AND_PRESERVED_SOURCE
FIELD_TOTAL,,Price_4pm,122441,122441,0,2.0,2.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,CPrc,122441,122441,0,1.0,1.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,CTime,122441,122441,0,1.0,1.0,0,0,0,NORMALIZED_TIME_ONLY_AND_PRESERVED_SOURCE
FIELD_TOTAL,,CPrc2,122441,122441,0,1.0,1.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,CTime2,122441,122441,0,1.0,1.0,0,0,0,NORMALIZED_TIME_ONLY_AND_PRESERVED_SOURCE
FIELD_TOTAL,,Ret_pre_t,122441,122441,0,56983.0,56983.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,Ret_mkt_t,122441,122441,0,1.0,1.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,Ret_post_t,122441,122441,0,39816.0,39816.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,MFCount,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,NumTrades_t,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,NumTrades_m,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,SumVolume_t,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,SumVolume_m,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,SumValue_b,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,SumValue_m,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,NumISOTrades_m,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
FIELD_TOTAL,,SumISOVolume_m,122441,122441,0,0.0,0.0,0,0,0,CONVERTED_TO_NUMERIC_WHERE_POSSIBLE
