date,symbol,raw_date_type
13/04/1993,AAPL,US_DATE
14/04/1993,AAPL,US_DATE
15/04/1993,AAPL,US_DATE
16/04/1993,AAPL,US_DATE
19/04/1993,AAPL,US_DATE
20/04/1993,AAPL,US_DATE
21/04/1993,AAPL,US_DATE
22/04/1993,AAPL,US_DATE
23/04/1993,AAPL,US_DATE
26/04/1993,AAPL,US_DATE
27/04/1993,AAPL,US_DATE
28/04/1993,AAPL,US_DATE
29/04/1993,AAPL,US_DATE
30/04/1993,AAPL,US_DATE
13/05/1993,AAPL,US_DATE
14/05/1993,AAPL,US_DATE
17/05/1993,AAPL,US_DATE
18/05/1993,AAPL,US_DATE
19/05/1993,AAPL,US_DATE
20/05/1993,AAPL,US_DATE
21/05/1993,AAPL,US_DATE
24/05/1993,AAPL,US_DATE
25/05/1993,AAPL,US_DATE
26/05/1993,AAPL,US_DATE
27/05/1993,AAPL,US_DATE
28/05/1993,AAPL,US_DATE
14/06/1993,AAPL,US_DATE
15/06/1993,AAPL,US_DATE
16/06/1993,AAPL,US_DATE
17/06/1993,AAPL,US_DATE
18/06/1993,AAPL,US_DATE
21/06/1993,AAPL,US_DATE
22/06/1993,AAPL,US_DATE
23/06/1993,AAPL,US_DATE
24/06/1993,AAPL,US_DATE
25/06/1993,AAPL,US_DATE
28/06/1993,AAPL,US_DATE
29/06/1993,AAPL,US_DATE
30/06/1993,AAPL,US_DATE
13/07/1993,AAPL,US_DATE
14/07/1993,AAPL,US_DATE
15/07/1993,AAPL,US_DATE
16/07/1993,AAPL,US_DATE
19/07/1993,AAPL,US_DATE
20/07/1993,AAPL,US_DATE
21/07/1993,AAPL,US_DATE
22/07/1993,AAPL,US_DATE
23/07/1993,AAPL,US_DATE
26/07/1993,AAPL,US_DATE
27/07/1993,AAPL,US_DATE
28/07/1993,AAPL,US_DATE
29/07/1993,AAPL,US_DATE
30/07/1993,AAPL,US_DATE
13/08/1993,AAPL,US_DATE
16/08/1993,AAPL,US_DATE
17/08/1993,AAPL,US_DATE
18/08/1993,AAPL,US_DATE
19/08/1993,AAPL,US_DATE
20/08/1993,AAPL,US_DATE
23/08/1993,AAPL,US_DATE
24/08/1993,AAPL,US_DATE
25/08/1993,AAPL,US_DATE
26/08/1993,AAPL,US_DATE
27/08/1993,AAPL,US_DATE
30/08/1993,AAPL,US_DATE
31/08/1993,AAPL,US_DATE
13/09/1993,AAPL,US_DATE
14/09/1993,AAPL,US_DATE
15/09/1993,AAPL,US_DATE
16/09/1993,AAPL,US_DATE
17/09/1993,AAPL,US_DATE
20/09/1993,AAPL,US_DATE
21/09/1993,AAPL,US_DATE
22/09/1993,AAPL,US_DATE
23/09/1993,AAPL,US_DATE
24/09/1993,AAPL,US_DATE
27/09/1993,AAPL,US_DATE
28/09/1993,AAPL,US_DATE
29/09/1993,AAPL,US_DATE
30/09/1993,AAPL,US_DATE
13/10/1993,AAPL,US_DATE
14/10/1993,AAPL,US_DATE
15/10/1993,AAPL,US_DATE
18/10/1993,AAPL,US_DATE
19/10/1993,AAPL,US_DATE
20/10/1993,AAPL,US_DATE
21/10/1993,AAPL,US_DATE
22/10/1993,AAPL,US_DATE
25/10/1993,AAPL,US_DATE
26/10/1993,AAPL,US_DATE
27/10/1993,AAPL,US_DATE
28/10/1993,AAPL,US_DATE
29/10/1993,AAPL,US_DATE
15/11/1993,AAPL,US_DATE
16/11/1993,AAPL,US_DATE
17/11/1993,AAPL,US_DATE
18/11/1993,AAPL,US_DATE
19/11/1993,AAPL,US_DATE
22/11/1993,AAPL,US_DATE
23/11/1993,AAPL,US_DATE
13/07/2009,PFE,US_DATE
14/07/2009,PFE,US_DATE
15/07/2009,PFE,US_DATE
16/07/2009,PFE,US_DATE
17/07/2009,PFE,US_DATE
20/07/2009,PFE,US_DATE
21/07/2009,PFE,US_DATE
22/07/2009,PFE,US_DATE
23/07/2009,PFE,US_DATE
24/07/2009,PFE,US_DATE
27/07/2009,PFE,US_DATE
28/07/2009,PFE,US_DATE
29/07/2009,PFE,US_DATE
30/07/2009,PFE,US_DATE
31/07/2009,PFE,US_DATE
13/08/2009,PFE,US_DATE
14/08/2009,PFE,US_DATE
17/08/2009,PFE,US_DATE
18/08/2009,PFE,US_DATE
19/08/2009,PFE,US_DATE
20/08/2009,PFE,US_DATE
21/08/2009,PFE,US_DATE
24/08/2009,PFE,US_DATE
25/08/2009,PFE,US_DATE
26/08/2009,PFE,US_DATE
27/08/2009,PFE,US_DATE
28/08/2009,PFE,US_DATE
31/08/2009,PFE,US_DATE
14/09/2009,PFE,US_DATE
15/09/2009,PFE,US_DATE
16/09/2009,PFE,US_DATE
17/09/2009,PFE,US_DATE
18/09/2009,PFE,US_DATE
21/09/2009,PFE,US_DATE
22/09/2009,PFE,US_DATE
23/09/2009,PFE,US_DATE
24/09/2009,PFE,US_DATE
25/09/2009,PFE,US_DATE
28/09/2009,PFE,US_DATE
29/09/2009,PFE,US_DATE
30/09/2009,PFE,US_DATE
13/10/2009,PFE,US_DATE
14/10/2009,PFE,US_DATE
15/10/2009,PFE,US_DATE
16/10/2009,PFE,US_DATE
19/10/2009,PFE,US_DATE
20/10/2009,PFE,US_DATE
21/10/2009,PFE,US_DATE
22/10/2009,PFE,US_DATE
23/10/2009,PFE,US_DATE
26/10/2009,PFE,US_DATE
27/10/2009,PFE,US_DATE
28/10/2009,PFE,US_DATE
29/10/2009,PFE,US_DATE
30/10/2009,PFE,US_DATE
13/11/2009,PFE,US_DATE
16/11/2009,PFE,US_DATE
17/11/2009,PFE,US_DATE
18/11/2009,PFE,US_DATE
19/11/2009,PFE,US_DATE
20/11/2009,PFE,US_DATE
23/11/2009,PFE,US_DATE
24/11/2009,PFE,US_DATE
25/11/2009,PFE,US_DATE
27/11/2009,PFE,US_DATE
30/11/2009,PFE,US_DATE
14/12/2009,PFE,US_DATE
15/12/2009,PFE,US_DATE
16/12/2009,PFE,US_DATE
17/12/2009,PFE,US_DATE
18/12/2009,PFE,US_DATE
21/12/2009,PFE,US_DATE
22/12/2009,PFE,US_DATE
23/12/2009,PFE,US_DATE
24/12/2009,PFE,US_DATE
28/12/2009,PFE,US_DATE
