column,semantic_role,rows_observed,non_null_count,missing_count,missing_rate,numeric_count,numeric_min,numeric_max,numeric_mean,numeric_median,zero_count,negative_count,positive_count,inf_count,has_missing,has_negative_values,has_zero_values,has_infinite_values,requires_manual_semantic_review,potential_price_field,potential_time_field
date,DATE,122441,122441,0,0.0,0,,,,,0,0,0,0,False,False,False,False,False,False,False
symbol,SECURITY_IDENTIFIER,122441,122441,0,0.0,0,,,,,0,0,0,0,False,False,False,False,False,False,False
QTime_1pm,QUOTE_TIMESTAMP,122441,122438,3,2.4501596687384128e-05,0,,,,,0,0,0,0,True,False,False,False,False,False,True
BB_1pm,QUOTE_PRICE,122441,122438,3,2.4501596687384128e-05,122438,0.15,769.71,,,0,0,122438,0,True,False,False,False,False,True,False
BO_1pm,QUOTE_PRICE,122441,122438,3,2.4501596687384128e-05,122438,0.17,770.0,,,0,0,122438,0,True,False,False,False,False,True,False
MID_1pm,QUOTE_PRICE,122441,122438,3,2.4501596687384128e-05,122438,0.16,769.855,,,0,0,122438,0,True,False,False,False,False,True,False
QTime_c1,QUOTE_TIMESTAMP,122441,122440,1,8.16719889579471e-06,0,,,,,0,0,0,0,True,False,False,False,False,False,True
BB_c1,QUOTE_PRICE,122441,122440,1,8.16719889579471e-06,122440,0.15,768.19,,,0,0,122440,0,True,False,False,False,False,True,False
BO_c1,QUOTE_PRICE,122441,122440,1,8.16719889579471e-06,122440,0.19,768.29,,,0,0,122440,0,True,False,False,False,False,True,False
Mid_c1,QUOTE_PRICE,122441,122440,1,8.16719889579471e-06,122440,0.175,768.24,,,0,0,122440,0,True,False,False,False,False,True,False
QTime_4pm,QUOTE_TIMESTAMP,122441,122440,1,8.16719889579471e-06,0,,,,,0,0,0,0,True,False,False,False,False,False,True
BB_4pm,QUOTE_PRICE,122441,122440,1,8.16719889579471e-06,122440,0.15,767.91,,,0,0,122440,0,True,False,False,False,False,True,False
BO_4pm,QUOTE_PRICE,122441,122440,1,8.16719889579471e-06,122440,0.19,768.29,,,0,0,122440,0,True,False,False,False,False,True,False
Mid_4pm,QUOTE_PRICE,122441,122440,1,8.16719889579471e-06,122440,0.175,768.1,,,0,0,122440,0,True,False,False,False,False,True,False
