column,semantic_role,dtype,unique_count,min,max,median,mean,zero_count,negative_count,top_values
date,DATE,str,5036,,,,,,,
symbol,SECURITY_IDENTIFIER,str,29,,,,,,,
QTime_1pm,QUOTE_TIMESTAMP,str,4373,,,,,,,
BB_1pm,QUOTE_PRICE,float64,21889,0.15,769.71,48.125,67.07232126880544,0.0,0.0,
BO_1pm,QUOTE_PRICE,float64,21882,0.17,770.0,48.18,67.13522039999837,0.0,0.0,
MID_1pm,QUOTE_PRICE,float64,31870,0.16,769.855,48.155,67.1037708344019,0.0,0.0,
QTime_c1,QUOTE_TIMESTAMP,str,3946,,,,,,,
BB_c1,QUOTE_PRICE,float64,21754,0.15,768.19,48.125,67.07412351833551,0.0,0.0,
BO_c1,QUOTE_PRICE,float64,21805,0.19,768.29,48.1875,67.1338361280219,0.0,0.0,
Mid_c1,QUOTE_PRICE,float64,32377,0.175,768.24,48.15625,67.1039798231787,0.0,0.0,
QTime_4pm,QUOTE_TIMESTAMP,str,4303,,,,,,,
BB_4pm,QUOTE_PRICE,float64,21786,0.15,767.91,48.125,67.07188335462267,0.0,0.0,
BO_4pm,QUOTE_PRICE,float64,21809,0.19,768.29,48.1875,67.13524372051616,0.0,0.0,
Mid_4pm,QUOTE_PRICE,float64,32711,0.175,768.1,48.15625,67.10356353756941,0.0,0.0,
LQTime,QUOTE_TIMESTAMP,str,15805,,,,,,,
LBB,QUOTE_PRICE,float64,20960,0.01,767.05,48.12,66.97579313551017,0.0,0.0,
LBO,QUOTE_PRICE,float64,20984,0.19,769.0,48.2,67.24262578927811,0.0,0.0,
LMid,QUOTE_PRICE,float64,32916,0.175,767.71,48.155,67.10920946239413,0.0,0.0,
OTime,TRADE_OR_EVENT_TIMESTAMP,str,2545,,,,,,,
OPrice,TRADE_OR_EVENT_PRICE,float64,21941,0.14,770.96,48.125,67.10435221102409,0.0,0.0,
DTime,TRADE_OR_EVENT_TIMESTAMP,str,3162,,,,,,,
DPrice,TRADE_OR_EVENT_PRICE,float64,24416,0.15,768.28,48.15,67.10642250447161,0.0,0.0,
Vol_oc,OTHER,float64,100970,100.0,2764489220.0,5948890.0,18872960.54432375,0.0,0.0,
Value_oc,OTHER,float64,122252,22.0,80756227861.0,325790176.91999996,922532261.5735824,0.0,0.0,
LTTime,TRADE_OR_EVENT_TIMESTAMP,str,14862,,,,,,,
LPrice,TRADE_OR_EVENT_PRICE,float64,27189,0.23,768.0,49.5,69.56776691556584,0.0,0.0,
TTime_1pm,TRADE_OR_EVENT_TIMESTAMP,str,3788,,,,,,,
Price_1pm,TRADE_OR_EVENT_PRICE,float64,30611,0.14,769.97,48.2,67.18270392491802,0.0,0.0,
TTime_4pm,TRADE_OR_EVENT_TIMESTAMP,str,3732,,,,,,,
Price_4pm,TRADE_OR_EVENT_PRICE,float64,24492,0.15,768.28,48.15,67.10616397838923,0.0,0.0,
CPrc,QUOTE_PRICE,float64,23127,0.15,768.05,48.16,67.10914298118806,0.0,0.0,
CTime,TRADE_OR_EVENT_TIMESTAMP,str,8065,,,,,,,
CPrc2,QUOTE_PRICE,float64,23127,0.15,768.05,48.16,67.10914298118806,0.0,0.0,
CTime2,TRADE_OR_EVENT_TIMESTAMP,str,8065,,,,,,,
