date,row_count,weekday,date_gap_days
1993-01-02,17,Saturday,
1993-01-03,17,Sunday,1.0
1993-01-04,17,Monday,1.0
1993-01-06,21,Wednesday,2.0
1993-01-07,21,Thursday,1.0
1993-01-09,21,Saturday,2.0
1993-01-10,21,Sunday,1.0
1993-01-11,21,Monday,1.0
1993-01-12,21,Tuesday,1.0
1993-02-02,17,Tuesday,21.0
1993-02-03,17,Wednesday,1.0
1993-02-04,17,Thursday,1.0
1993-02-06,21,Saturday,2.0
1993-02-07,21,Sunday,1.0
1993-02-08,21,Monday,1.0
1993-02-09,21,Tuesday,1.0
1993-02-11,21,Thursday,2.0
1993-02-12,21,Friday,1.0
1993-03-02,17,Tuesday,18.0
1993-03-03,17,Wednesday,1.0
1993-03-05,21,Friday,2.0
1993-03-06,21,Saturday,1.0
1993-03-08,21,Monday,2.0
1993-03-09,21,Tuesday,1.0
1993-03-11,21,Thursday,2.0
1993-03-12,21,Friday,1.0
1993-04-01,16,Thursday,20.0
1993-04-02,17,Friday,1.0
1993-04-03,17,Saturday,1.0
1993-04-05,21,Monday,2.0
1993-04-06,21,Tuesday,1.0
1993-04-08,21,Thursday,2.0
1993-04-10,21,Saturday,2.0
1993-04-11,21,Sunday,1.0
1993-05-01,16,Saturday,20.0
1993-05-02,17,Sunday,1.0
1993-05-03,17,Monday,1.0
1993-05-04,17,Tuesday,1.0
1993-05-05,21,Wednesday,1.0
1993-05-08,21,Saturday,3.0
1993-05-10,21,Monday,2.0
1993-05-11,21,Tuesday,1.0
1993-06-01,16,Tuesday,21.0
1993-06-04,21,Friday,3.0
1993-06-05,21,Saturday,1.0
1993-06-07,21,Monday,2.0
1993-06-08,21,Tuesday,1.0
1993-06-10,21,Thursday,2.0
1993-06-12,21,Saturday,2.0
1993-07-01,16,Thursday,19.0
1993-07-04,21,Sunday,3.0
1993-07-05,21,Monday,1.0
1993-07-06,21,Tuesday,1.0
1993-07-07,21,Wednesday,1.0
1993-07-09,21,Friday,2.0
1993-07-10,21,Saturday,1.0
1993-07-12,21,Monday,2.0
1993-08-01,16,Sunday,20.0
1993-08-02,17,Monday,1.0
1993-08-03,17,Tuesday,1.0
1993-08-04,21,Wednesday,1.0
1993-08-06,21,Friday,2.0
1993-08-07,21,Saturday,1.0
1993-08-09,21,Monday,2.0
1993-08-10,21,Tuesday,1.0
1993-08-11,21,Wednesday,1.0
1993-08-12,21,Thursday,1.0
1993-09-02,17,Thursday,21.0
1993-09-03,17,Friday,1.0
1993-09-06,21,Monday,3.0
1993-09-07,21,Tuesday,1.0
1993-09-08,21,Wednesday,1.0
1993-09-09,21,Thursday,1.0
1993-09-11,21,Saturday,2.0
1993-09-12,21,Sunday,1.0
1993-10-02,17,Saturday,20.0
1993-10-03,17,Sunday,1.0
1993-10-05,21,Tuesday,2.0
1993-10-06,21,Wednesday,1.0
1993-10-08,21,Friday,2.0
1993-10-09,21,Saturday,1.0
1993-10-11,21,Monday,2.0
1993-10-12,21,Tuesday,1.0
1993-11-01,16,Monday,20.0
1993-11-02,17,Tuesday,1.0
1993-11-03,17,Wednesday,1.0
1993-11-05,21,Friday,2.0
1993-11-06,21,Saturday,1.0
1993-11-08,21,Monday,2.0
1993-11-10,21,Wednesday,2.0
1993-11-11,21,Thursday,1.0
1993-12-01,16,Wednesday,20.0
1993-12-02,17,Thursday,1.0
1993-12-03,17,Friday,1.0
1993-12-04,21,Saturday,1.0
1993-12-05,21,Sunday,1.0
1993-12-07,21,Tuesday,2.0
1993-12-08,21,Wednesday,1.0
1993-12-10,21,Friday,2.0
1993-12-11,21,Saturday,1.0
1994-01-02,21,Sunday,22.0
1994-01-03,21,Monday,1.0
1994-01-06,21,Thursday,3.0
1994-01-07,21,Friday,1.0
1994-01-08,21,Saturday,1.0
1994-01-09,21,Sunday,1.0
1994-01-11,21,Tuesday,2.0
1994-01-12,21,Wednesday,1.0
1994-02-02,21,Wednesday,21.0
1994-02-03,21,Thursday,1.0
1994-02-05,21,Saturday,2.0
1994-02-06,21,Sunday,1.0
1994-02-08,21,Tuesday,2.0
1994-02-09,21,Wednesday,1.0
1994-02-11,21,Friday,2.0
1994-02-12,21,Saturday,1.0
1994-03-01,21,Tuesday,17.0
1994-03-02,21,Wednesday,1.0
1994-03-03,21,Thursday,1.0
1994-03-05,21,Saturday,2.0
1994-03-06,21,Sunday,1.0
1994-03-08,21,Tuesday,2.0
1994-03-10,21,Thursday,2.0
1994-03-11,21,Friday,1.0
1994-04-01,21,Friday,21.0
1994-04-02,21,Saturday,1.0
1994-04-03,21,Sunday,1.0
1994-04-04,21,Monday,1.0
1994-04-05,21,Tuesday,1.0
1994-04-08,21,Friday,3.0
1994-04-10,21,Sunday,2.0
1994-04-11,21,Monday,1.0
1994-05-01,21,Sunday,20.0
1994-05-04,21,Wednesday,3.0
1994-05-05,21,Thursday,1.0
1994-05-07,21,Saturday,2.0
1994-05-08,21,Sunday,1.0
1994-05-10,21,Tuesday,2.0
1994-05-12,21,Thursday,2.0
1994-06-01,21,Wednesday,20.0
1994-06-04,21,Saturday,3.0
1994-06-05,21,Sunday,1.0
1994-06-06,21,Monday,1.0
1994-06-07,21,Tuesday,1.0
1994-06-09,21,Thursday,2.0
1994-06-10,21,Friday,1.0
1994-06-12,21,Sunday,2.0
1994-07-01,21,Friday,19.0
1994-07-02,21,Saturday,1.0
1994-07-03,21,Sunday,1.0
1994-07-04,21,Monday,1.0
1994-07-06,21,Wednesday,2.0
1994-07-07,21,Thursday,1.0
1994-07-09,21,Saturday,2.0
1994-07-10,21,Sunday,1.0
1994-07-11,21,Monday,1.0
1994-07-12,21,Tuesday,1.0
1994-08-02,21,Tuesday,21.0
1994-08-03,21,Wednesday,1.0
1994-08-04,21,Thursday,1.0
1994-08-06,21,Saturday,2.0
1994-08-07,21,Sunday,1.0
1994-08-08,21,Monday,1.0
1994-08-09,21,Tuesday,1.0
1994-08-11,21,Thursday,2.0
1994-08-12,21,Friday,1.0
1994-09-02,21,Friday,21.0
1994-09-03,21,Saturday,1.0
1994-09-05,21,Monday,2.0
1994-09-06,21,Tuesday,1.0
1994-09-08,21,Thursday,2.0
1994-09-09,21,Friday,1.0
1994-09-11,21,Sunday,2.0
1994-09-12,21,Monday,1.0
1994-10-01,21,Saturday,19.0
1994-10-02,21,Sunday,1.0
1994-10-03,21,Monday,1.0
1994-10-05,21,Wednesday,2.0
1994-10-06,21,Thursday,1.0
1994-10-08,21,Saturday,2.0
1994-10-10,21,Monday,2.0
1994-10-11,21,Tuesday,1.0
1994-11-01,21,Tuesday,21.0
1994-11-02,21,Wednesday,1.0
1994-11-03,21,Thursday,1.0
1994-11-04,21,Friday,1.0
1994-11-05,21,Saturday,1.0
1994-11-07,21,Monday,2.0
1994-11-08,21,Tuesday,1.0
1994-11-10,21,Thursday,2.0
1994-11-11,21,Friday,1.0
1994-12-01,21,Thursday,20.0
1994-12-04,21,Sunday,3.0
1994-12-05,21,Monday,1.0
1994-12-07,21,Wednesday,2.0
1994-12-08,21,Thursday,1.0
1994-12-09,21,Friday,1.0
1994-12-10,21,Saturday,1.0
1994-12-12,21,Monday,2.0
1995-01-02,21,Monday,21.0
1995-01-03,21,Tuesday,1.0
1995-01-05,21,Thursday,2.0
1995-01-06,21,Friday,1.0
1995-01-08,21,Sunday,2.0
1995-01-09,21,Monday,1.0
1995-01-11,21,Wednesday,2.0
1995-01-12,21,Thursday,1.0
1995-02-02,21,Thursday,21.0
1995-02-03,21,Friday,1.0
1995-02-05,21,Sunday,2.0
1995-02-06,21,Monday,1.0
1995-02-08,21,Wednesday,2.0
1995-02-10,21,Friday,2.0
1995-02-11,21,Saturday,1.0
1995-03-01,21,Wednesday,18.0
1995-03-02,21,Thursday,1.0
1995-03-03,21,Friday,1.0
1995-03-04,21,Saturday,1.0
1995-03-05,21,Sunday,1.0
1995-03-07,21,Tuesday,2.0
1995-03-08,21,Wednesday,1.0
1995-03-10,21,Friday,2.0
1995-03-11,21,Saturday,1.0
1995-04-01,21,Saturday,21.0
1995-04-04,21,Tuesday,3.0
1995-04-05,21,Wednesday,1.0
1995-04-08,21,Saturday,3.0
1995-04-10,21,Monday,2.0
1995-04-12,21,Wednesday,2.0
1995-05-01,21,Monday,19.0
1995-05-04,21,Thursday,3.0
1995-05-05,21,Friday,1.0
1995-05-06,21,Saturday,1.0
1995-05-07,21,Sunday,1.0
1995-05-09,21,Tuesday,2.0
1995-05-10,21,Wednesday,1.0
1995-05-12,21,Friday,2.0
1995-06-01,21,Thursday,20.0
1995-06-02,21,Friday,1.0
1995-06-03,21,Saturday,1.0
1995-06-04,21,Sunday,1.0
1995-06-06,21,Tuesday,2.0
1995-06-07,21,Wednesday,1.0
1995-06-09,21,Friday,2.0
1995-06-10,21,Saturday,1.0
1995-06-11,21,Sunday,1.0
1995-06-12,21,Monday,1.0
1995-07-02,21,Sunday,20.0
1995-07-03,21,Monday,1.0
1995-07-04,21,Tuesday,1.0
1995-07-06,21,Thursday,2.0
1995-07-07,21,Friday,1.0
1995-07-08,21,Saturday,1.0
1995-07-09,21,Sunday,1.0
1995-07-11,21,Tuesday,2.0
1995-07-12,21,Wednesday,1.0
1995-08-02,21,Wednesday,21.0
1995-08-03,21,Thursday,1.0
1995-08-05,21,Saturday,2.0
1995-08-06,21,Sunday,1.0
1995-08-08,21,Tuesday,2.0
1995-08-09,21,Wednesday,1.0
1995-08-11,21,Friday,2.0
1995-08-12,21,Saturday,1.0
1995-09-01,21,Friday,20.0
1995-09-02,21,Saturday,1.0
1995-09-03,21,Sunday,1.0
1995-09-05,21,Tuesday,2.0
1995-09-06,21,Wednesday,1.0
1995-09-08,21,Friday,2.0
1995-09-10,21,Sunday,2.0
1995-09-11,21,Monday,1.0
1995-10-01,21,Sunday,20.0
1995-10-02,21,Monday,1.0
1995-10-03,21,Tuesday,1.0
1995-10-04,21,Wednesday,1.0
1995-10-05,21,Thursday,1.0
1995-10-07,21,Saturday,2.0
1995-10-08,21,Sunday,1.0
1995-10-10,21,Tuesday,2.0
1995-10-11,21,Wednesday,1.0
1995-11-01,21,Wednesday,21.0
1995-11-04,21,Saturday,3.0
1995-11-05,21,Sunday,1.0
1995-11-07,21,Tuesday,2.0
1995-11-08,21,Wednesday,1.0
1995-11-09,21,Thursday,1.0
1995-11-10,21,Friday,1.0
1995-11-12,21,Sunday,2.0
1995-12-01,21,Friday,19.0
1995-12-04,21,Monday,3.0
1995-12-05,21,Tuesday,1.0
1995-12-06,21,Wednesday,1.0
1995-12-07,21,Thursday,1.0
1995-12-09,21,Saturday,2.0
1995-12-10,21,Sunday,1.0
1995-12-12,21,Tuesday,2.0
1996-01-02,21,Tuesday,21.0
1996-01-03,21,Wednesday,1.0
1996-01-04,21,Thursday,1.0
1996-01-05,21,Friday,1.0
1996-01-07,21,Sunday,2.0
1996-01-08,21,Monday,1.0
1996-01-10,20,Wednesday,2.0
1996-01-11,20,Thursday,1.0
1996-02-01,21,Thursday,21.0
1996-02-02,21,Friday,1.0
1996-02-04,21,Sunday,2.0
1996-02-05,21,Monday,1.0
1996-02-07,21,Wednesday,2.0
1996-02-08,21,Thursday,1.0
1996-02-10,20,Saturday,2.0
1996-02-12,20,Monday,2.0
1996-03-01,21,Friday,18.0
1996-03-04,21,Monday,3.0
1996-03-05,21,Tuesday,1.0
1996-03-06,21,Wednesday,1.0
1996-03-07,21,Thursday,1.0
1996-03-09,20,Saturday,2.0
1996-03-10,20,Sunday,1.0
1996-03-12,20,Tuesday,2.0
1996-04-01,21,Monday,20.0
1996-04-03,21,Wednesday,2.0
1996-04-04,21,Thursday,1.0
1996-04-06,21,Saturday,2.0
1996-04-09,20,Tuesday,3.0
1996-04-10,20,Wednesday,1.0
1996-04-11,20,Thursday,1.0
1996-04-12,20,Friday,1.0
1996-05-01,21,Wednesday,19.0
1996-05-02,21,Thursday,1.0
1996-05-03,21,Friday,1.0
1996-05-06,21,Monday,3.0
1996-05-07,21,Tuesday,1.0
1996-05-08,21,Wednesday,1.0
1996-05-09,20,Thursday,1.0
1996-05-11,20,Saturday,2.0
1996-05-12,20,Sunday,1.0
1996-06-02,21,Sunday,21.0
1996-06-03,21,Monday,1.0
1996-06-05,21,Wednesday,2.0
1996-06-06,21,Thursday,1.0
1996-06-08,21,Saturday,2.0
1996-06-09,20,Sunday,1.0
1996-06-11,20,Tuesday,2.0
1996-06-12,20,Wednesday,1.0
1996-07-02,21,Tuesday,20.0
1996-07-03,21,Wednesday,1.0
1996-07-05,21,Friday,2.0
1996-07-06,21,Saturday,1.0
1996-07-08,21,Monday,2.0
1996-07-10,20,Wednesday,2.0
1996-07-11,20,Thursday,1.0
1996-08-01,21,Thursday,21.0
1996-08-02,21,Friday,1.0
1996-08-03,21,Saturday,1.0
1996-08-04,21,Sunday,1.0
1996-08-05,21,Monday,1.0
1996-08-07,21,Wednesday,2.0
1996-08-08,21,Thursday,1.0
1996-08-10,20,Saturday,2.0
1996-08-11,20,Sunday,1.0
1996-09-01,21,Sunday,21.0
1996-09-02,21,Monday,1.0
1996-09-04,21,Wednesday,2.0
1996-09-05,21,Thursday,1.0
1996-09-07,21,Saturday,2.0
1996-09-08,21,Sunday,1.0
1996-09-09,20,Monday,1.0
1996-09-10,20,Tuesday,1.0
1996-09-12,20,Thursday,2.0
1996-10-01,21,Tuesday,19.0
1996-10-04,21,Friday,3.0
1996-10-05,21,Saturday,1.0
1996-10-06,21,Sunday,1.0
1996-10-07,21,Monday,1.0
1996-10-09,20,Wednesday,2.0
1996-10-10,20,Thursday,1.0
1996-10-12,20,Saturday,2.0
1996-11-01,21,Friday,20.0
1996-11-03,21,Sunday,2.0
1996-11-04,21,Monday,1.0
1996-11-06,21,Wednesday,2.0
1996-11-07,21,Thursday,1.0
1996-11-09,20,Saturday,2.0
1996-11-10,20,Sunday,1.0
1996-11-11,20,Monday,1.0
1996-11-12,20,Tuesday,1.0
1996-12-01,21,Sunday,19.0
1996-12-02,21,Monday,1.0
1996-12-03,21,Tuesday,1.0
1996-12-04,21,Wednesday,1.0
1996-12-06,21,Friday,2.0
1996-12-07,21,Saturday,1.0
1996-12-08,21,Sunday,1.0
1996-12-09,20,Monday,1.0
1996-12-11,20,Wednesday,2.0
1996-12-12,20,Thursday,1.0
1997-01-04,20,Saturday,23.0
1997-01-05,20,Sunday,1.0
1997-01-07,19,Tuesday,2.0
1997-01-08,19,Wednesday,1.0
1997-01-10,19,Friday,2.0
1997-01-12,19,Sunday,2.0
1997-02-01,20,Saturday,20.0
1997-02-04,20,Tuesday,3.0
1997-02-05,20,Wednesday,1.0
1997-02-06,20,Thursday,1.0
1997-02-07,19,Friday,1.0
1997-02-09,19,Sunday,2.0
1997-02-10,19,Monday,1.0
1997-02-12,19,Wednesday,2.0
1997-03-01,20,Saturday,17.0
1997-03-02,20,Sunday,1.0
1997-03-03,20,Monday,1.0
1997-03-04,20,Tuesday,1.0
1997-03-06,20,Thursday,2.0
1997-03-07,19,Friday,1.0
1997-03-09,19,Sunday,2.0
1997-03-10,19,Monday,1.0
1997-03-11,19,Tuesday,1.0
1997-03-12,19,Wednesday,1.0
1997-04-02,20,Wednesday,21.0
1997-04-03,20,Thursday,1.0
1997-04-04,20,Friday,1.0
1997-04-06,20,Sunday,2.0
1997-04-08,19,Tuesday,2.0
1997-04-09,19,Wednesday,1.0
1997-04-11,19,Friday,2.0
1997-04-12,19,Saturday,1.0
1997-05-02,20,Friday,20.0
1997-05-03,20,Saturday,1.0
1997-05-05,20,Monday,2.0
1997-05-06,20,Tuesday,1.0
1997-05-08,19,Thursday,2.0
1997-05-09,19,Friday,1.0
1997-05-11,19,Sunday,2.0
1997-05-12,19,Monday,1.0
1997-06-01,20,Sunday,20.0
1997-06-02,20,Monday,1.0
1997-06-03,20,Tuesday,1.0
1997-06-05,20,Thursday,2.0
1997-06-06,20,Friday,1.0
1997-06-08,19,Sunday,2.0
1997-06-10,19,Tuesday,2.0
1997-06-11,19,Wednesday,1.0
1997-07-01,20,Tuesday,20.0
1997-07-02,20,Wednesday,1.0
1997-07-03,20,Thursday,1.0
1997-07-04,20,Friday,1.0
1997-07-05,20,Saturday,1.0
1997-07-07,19,Monday,2.0
1997-07-08,19,Tuesday,1.0
1997-07-10,19,Thursday,2.0
1997-07-11,19,Friday,1.0
1997-08-01,20,Friday,21.0
1997-08-04,20,Monday,3.0
1997-08-05,20,Tuesday,1.0
1997-08-07,19,Thursday,2.0
1997-08-08,19,Friday,1.0
1997-08-09,19,Saturday,1.0
1997-08-10,19,Sunday,1.0
1997-08-12,19,Tuesday,2.0
1997-09-01,20,Monday,20.0
1997-09-04,20,Thursday,3.0
1997-09-05,20,Friday,1.0
1997-09-06,20,Saturday,1.0
1997-09-07,19,Sunday,1.0
1997-09-09,19,Tuesday,2.0
1997-09-10,19,Wednesday,1.0
1997-09-12,19,Friday,2.0
1997-10-01,20,Wednesday,19.0
1997-10-02,20,Thursday,1.0
1997-10-03,20,Friday,1.0
1997-10-04,20,Saturday,1.0
1997-10-06,20,Monday,2.0
1997-10-07,19,Tuesday,1.0
1997-10-09,19,Thursday,2.0
1997-10-10,19,Friday,1.0
1997-10-11,19,Saturday,1.0
1997-10-12,19,Sunday,1.0
1997-11-02,20,Sunday,21.0
1997-11-03,20,Monday,1.0
1997-11-04,20,Tuesday,1.0
1997-11-06,20,Thursday,2.0
1997-11-07,19,Friday,1.0
1997-11-08,19,Saturday,1.0
1997-11-09,19,Sunday,1.0
1997-11-11,19,Tuesday,2.0
1997-11-12,19,Wednesday,1.0
1997-12-02,20,Tuesday,20.0
1997-12-03,20,Wednesday,1.0
1997-12-05,20,Friday,2.0
1997-12-06,20,Saturday,1.0
1997-12-08,19,Monday,2.0
1997-12-09,19,Tuesday,1.0
1997-12-11,19,Thursday,2.0
1997-12-12,19,Friday,1.0
1998-01-04,19,Sunday,23.0
1998-01-05,20,Monday,1.0
1998-01-06,20,Tuesday,1.0
1998-01-07,20,Wednesday,1.0
1998-01-09,20,Friday,2.0
1998-01-10,20,Saturday,1.0
1998-01-12,19,Monday,2.0
1998-02-01,19,Sunday,20.0
1998-02-02,19,Monday,1.0
1998-02-03,19,Tuesday,1.0
1998-02-04,19,Wednesday,1.0
1998-02-06,20,Friday,2.0
1998-02-07,20,Saturday,1.0
1998-02-09,20,Monday,2.0
1998-02-10,20,Tuesday,1.0
1998-02-11,20,Wednesday,1.0
