column,missing_count,negative_count,zero_count,non_numeric_count,validation_rule,rule_violation_count
NumTimeUnitsWithTrade1,502,0,0,0,NONNEGATIVE OBSERVATION / MARKET FIELD,0
NumTimeUnitsWithTrade2,502,0,0,0,NONNEGATIVE OBSERVATION / MARKET FIELD,0
BB_1pm,3,0,0,0,PRICE >= 0,0
BO_1pm,3,0,0,0,PRICE >= 0,0
MID_1pm,3,0,0,0,PRICE >= 0,0
BB_c1,1,0,0,0,PRICE >= 0,0
BO_c1,1,0,0,0,PRICE >= 0,0
Mid_c1,1,0,0,0,PRICE >= 0,0
BB_4pm,1,0,0,0,PRICE >= 0,0
BO_4pm,1,0,0,0,PRICE >= 0,0
Mid_4pm,1,0,0,0,PRICE >= 0,0
LBB,0,0,0,0,PRICE >= 0,0
LBO,0,0,0,0,PRICE >= 0,0
LMid,0,0,0,0,PRICE >= 0,0
OPrice,0,0,0,0,PRICE >= 0,0
DPrice,2,0,0,0,PRICE >= 0,0
Vol_oc,1,0,0,0,ACTIVITY >= 0,0
Value_oc,1,0,0,0,ACTIVITY >= 0,0
LPrice,7982,0,0,0,PRICE >= 0,0
Price_1pm,148,0,0,0,PRICE >= 0,0
Price_4pm,2,0,0,0,PRICE >= 0,0
CPrc,1,0,0,0,PRICE >= 0,0
CPrc2,1,0,0,0,PRICE >= 0,0
Ret_pre_t,56983,32368,2489,0,SIGNED / SEMANTICALLY VALID,32368
Ret_mkt_t,1,59301,3767,0,SIGNED / SEMANTICALLY VALID,59301
Ret_post_t,39816,28794,22244,0,SIGNED / SEMANTICALLY VALID,28794
MFCount,0,0,3330,0,ACTIVITY >= 0,0
NumTrades_t,0,0,0,0,ACTIVITY >= 0,0
NumTrades_m,0,0,2,0,ACTIVITY >= 0,0
SumVolume_t,0,0,0,0,ACTIVITY >= 0,0
SumVolume_m,0,0,2,0,ACTIVITY >= 0,0
SumValue_b,0,0,56983,0,ACTIVITY >= 0,0
SumValue_m,0,0,2,0,ACTIVITY >= 0,0
NumISOTrades_m,0,0,82518,0,ACTIVITY >= 0,0
SumISOVolume_m,0,0,82518,0,ACTIVITY >= 0,0
SumISOValue_m,0,0,82518,0,ACTIVITY >= 0,0
NumOddLotTrades_m,0,0,115603,0,ACTIVITY >= 0,0
SumOddLotVolume_m,0,0,116225,0,ACTIVITY >= 0,0
SumOddLotValue_m,0,0,116225,0,ACTIVITY >= 0,0
NumMixedLotTrades_m,0,0,76208,0,ACTIVITY >= 0,0
SumMixedLotVolume_m,0,0,76208,0,ACTIVITY >= 0,0
SumMixedLotValue_m,0,0,76208,0,ACTIVITY >= 0,0
BuyNumTrades_LR1,0,0,348,0,ACTIVITY >= 0,0
SellNumTrades_LR1,0,0,176,0,ACTIVITY >= 0,0
BuyVol_LR1,0,0,348,0,ACTIVITY >= 0,0
SellVol_LR1,0,0,176,0,ACTIVITY >= 0,0
BuyDollar_LR1,0,0,348,0,ACTIVITY >= 0,0
SellDollar_LR1,0,0,176,0,ACTIVITY >= 0,0
ESpreadDollar_Avg1,59,0,5,0,SIGNED / SEMANTICALLY REVIEWED,0
ESpreadPct_Avg1,59,0,5,0,SIGNED / SEMANTICALLY REVIEWED,0
RSpreadDollar_Avg1,63,27018,39,0,SIGNED / SEMANTICALLY REVIEWED,27018
RSpreadPct_Avg1,63,27038,8,0,SIGNED / SEMANTICALLY REVIEWED,27038
PriceImpactDollar_Avg1,63,2150,1265,0,SIGNED / SEMANTICALLY REVIEWED,2150
PriceImpactPct_Avg1,63,2179,1202,0,SIGNED / SEMANTICALLY REVIEWED,2179
ESpreadDollar_VW1,59,0,5,0,SIGNED / SEMANTICALLY REVIEWED,0
ESpreadDollar_SW1,59,0,5,0,SIGNED / SEMANTICALLY REVIEWED,0
ESpreadPct_VW1,59,0,5,0,SIGNED / SEMANTICALLY REVIEWED,0
ESpreadPct_SW1,59,0,5,0,SIGNED / SEMANTICALLY REVIEWED,0
RSpreadDollar_SW1,63,14839,6,0,SIGNED / SEMANTICALLY REVIEWED,14839
RSpreadDollar_VW1,63,14836,3,0,SIGNED / SEMANTICALLY REVIEWED,14836
RSpreadPct_SW1,63,14873,3,0,SIGNED / SEMANTICALLY REVIEWED,14873
RSpreadPct_VW1,63,14844,3,0,SIGNED / SEMANTICALLY REVIEWED,14844
PriceImpactDollar_VW1,63,5099,1157,0,SIGNED / SEMANTICALLY REVIEWED,5099
PriceImpactDollar_SW1,63,5105,1167,0,SIGNED / SEMANTICALLY REVIEWED,5105
PriceImpactPct_VW1,63,5100,1164,0,SIGNED / SEMANTICALLY REVIEWED,5100
PriceImpactPct_SW1,63,5106,1157,0,SIGNED / SEMANTICALLY REVIEWED,5106
IVol_t_m,180,0,115,0,NONNEGATIVE OBSERVATION / MARKET FIELD,0
IVol_q_m,712,0,85,0,NONNEGATIVE OBSERVATION / MARKET FIELD,0
VarianceRatio1,820,0,132,0,NONNEGATIVE OBSERVATION / MARKET FIELD,0
VarianceRatio2,841,0,137,0,NONNEGATIVE OBSERVATION / MARKET FIELD,0
TSignSqrtDVol1,2544,24430,112,0,SIGNED / SEMANTICALLY VALID,24430
TSignSqrtDVol2,2544,24470,107,0,SIGNED / SEMANTICALLY VALID,24470
NObsUsed1,2544,0,0,0,NONNEGATIVE OBSERVATION / MARKET FIELD,0
NObsUsed2,2544,0,0,0,NONNEGATIVE OBSERVATION / MARKET FIELD,0
HIndex1,502,0,0,0,NONNEGATIVE OBSERVATION / MARKET FIELD,0
