symbol,row_count,row_rate
AAPL,4969,0.04058281131320391
AMZN,3929,0.03208892446157741
BAC,5036,0.041130013639222154
C,5022,0.04101567285468103
CVX,2825,0.023072336880620055
DIS,5036,0.041130013639222154
GE,5036,0.041130013639222154
GOOG,2096,0.01711844888558571
GS,3437,0.028070662604846416
HD,5036,0.041130013639222154
INTC,4971,0.0405991457109955
JNJ,5036,0.041130013639222154
JPM,5036,0.041130013639222154
KO,5036,0.041130013639222154
MA,2583,0.021095874747837733
META,2256,0.018425200708912865
MS,4769,0.03894937153404497
NFLX,2670,0.021806421051771874
NVDA,3506,0.02863419932865625
ORCL,4971,0.0405991457109955
PEP,5036,0.041130013639222154
PFE,5036,0.041130013639222154
QQQ,1888,0.015419671515260412
SPY,5016,0.040966669661306264
UNH,5036,0.041130013639222154
V,3811,0.031125194991873637
WFC,5036,0.041130013639222154
WMT,5036,0.041130013639222154
XOM,3290,0.026870084367164593
