field,rows,missing_count,missing_rate,zero_count,negative_count,positive_count,min,max,median,mean
BB_1pm,122441,3,2.4501596687384128e-05,0,0,122438,0.15,769.71,48.125,67.07232126880544
BO_1pm,122441,3,2.4501596687384128e-05,0,0,122438,0.17,770.0,48.18,67.13522039999837
MID_1pm,122441,3,2.4501596687384128e-05,0,0,122438,0.16,769.855,48.155,67.1037708344019
BB_c1,122441,1,8.16719889579471e-06,0,0,122440,0.15,768.19,48.125,67.07412351833551
BO_c1,122441,1,8.16719889579471e-06,0,0,122440,0.19,768.29,48.1875,67.1338361280219
Mid_c1,122441,1,8.16719889579471e-06,0,0,122440,0.175,768.24,48.15625,67.1039798231787
BB_4pm,122441,1,8.16719889579471e-06,0,0,122440,0.15,767.91,48.125,67.07188335462267
BO_4pm,122441,1,8.16719889579471e-06,0,0,122440,0.19,768.29,48.1875,67.13524372051616
Mid_4pm,122441,1,8.16719889579471e-06,0,0,122440,0.175,768.1,48.15625,67.10356353756941
LBB,122441,0,0.0,0,0,122441,0.01,767.05,48.12,66.97579313551017
LBO,122441,0,0.0,0,0,122441,0.19,769.0,48.2,67.24262578927811
LMid,122441,0,0.0,0,0,122441,0.175,767.71,48.155,67.10920946239413
CPrc,122441,1,8.16719889579471e-06,0,0,122440,0.15,768.05,48.16,67.10914298118806
CPrc2,122441,1,8.16719889579471e-06,0,0,122440,0.15,768.05,48.16,67.10914298118806
