file,relative_path,column,column_position,dtype,non_null_count,missing_count,missing_rate,unique_count,sample_min,sample_max,possible_date_or_timestamp,timestamp_precision,inferred_role,inspection_error
taq.csv,data\raw\taq\taq.csv,date,1,str,1000,0,0.0,253,01/02/1993,31/12/1993,True,millisecond,date,
taq.csv,data\raw\taq\taq.csv,symbol,2,str,1000,0,0.0,5,AAPL,GE,False,,security_identifier,
taq.csv,data\raw\taq\taq.csv,QTime_1pm,3,str,1000,0,0.0,463,10:20:53,9:01:34,True,millisecond,timestamp,
taq.csv,data\raw\taq\taq.csv,BB_1pm,4,float64,1000,0,0.0,256,22.5,88.125,False,,,
taq.csv,data\raw\taq\taq.csv,BO_1pm,5,float64,1000,0,0.0,243,22.75,88.25,False,,,
taq.csv,data\raw\taq\taq.csv,MID_1pm,6,float64,1000,0,0.0,378,22.625,88.1875,False,,security_identifier,
taq.csv,data\raw\taq\taq.csv,QTime_c1,7,str,1000,0,0.0,359,10:29:42,15:59:59,True,millisecond,timestamp,
taq.csv,data\raw\taq\taq.csv,BB_c1,8,float64,1000,0,0.0,240,22.5,88.375,False,,,
taq.csv,data\raw\taq\taq.csv,BO_c1,9,float64,1000,0,0.0,245,22.75,88.5,False,,,
taq.csv,data\raw\taq\taq.csv,Mid_c1,10,float64,1000,0,0.0,354,22.625,88.4375,False,,security_identifier,
taq.csv,data\raw\taq\taq.csv,QTime_4pm,11,str,1000,0,0.0,359,10:29:42,16:00:00,True,millisecond,timestamp,
taq.csv,data\raw\taq\taq.csv,BB_4pm,12,float64,1000,0,0.0,241,22.5,88.375,False,,,
taq.csv,data\raw\taq\taq.csv,BO_4pm,13,float64,1000,0,0.0,245,22.75,88.5,False,,,
taq.csv,data\raw\taq\taq.csv,Mid_4pm,14,float64,1000,0,0.0,355,22.625,88.4375,False,,security_identifier,
taq.csv,data\raw\taq\taq.csv,LQTime,15,str,1000,0,0.0,825,10:29:42,19:09:12,True,millisecond,timestamp,
taq.csv,data\raw\taq\taq.csv,LBB,16,float64,1000,0,0.0,243,22.5,88.375,False,,,
taq.csv,data\raw\taq\taq.csv,LBO,17,float64,1000,0,0.0,247,22.75,88.5,False,,,
taq.csv,data\raw\taq\taq.csv,LMid,18,float64,1000,0,0.0,360,22.625,88.4375,False,,security_identifier,
taq.csv,data\raw\taq\taq.csv,OTime,19,str,1000,0,0.0,370,10:26:29,9:57:22,True,millisecond,timestamp,
taq.csv,data\raw\taq\taq.csv,OPrice,20,float64,1000,0,0.0,243,22.625,87.625,False,,trade_price,
taq.csv,data\raw\taq\taq.csv,DTime,21,str,1000,0,0.0,148,12:59:34,15:59:59,True,millisecond,timestamp,
taq.csv,data\raw\taq\taq.csv,DPrice,22,float64,1000,0,0.0,259,22.75,88.375,False,,trade_price,
taq.csv,data\raw\taq\taq.csv,Vol_oc,23,int64,1000,0,0.0,980,101300,18895300,False,,,
taq.csv,data\raw\taq\taq.csv,Value_oc,24,float64,1000,0,0.0,1000,4336862.5,628687775.0,False,,,
taq.csv,data\raw\taq\taq.csv,LTTime,25,str,985,15,0.015,758,13:07:16,17:15:02,True,millisecond,timestamp,
taq.csv,data\raw\taq\taq.csv,LPrice,26,float64,985,15,0.015,269,22.5,88.375,False,,trade_price,
taq.csv,data\raw\taq\taq.csv,TTime_1pm,27,str,1000,0,0.0,193,12:42:48,12:59:59,True,millisecond,timestamp,
taq.csv,data\raw\taq\taq.csv,Price_1pm,28,float64,1000,0,0.0,255,22.5,88.25,False,,trade_price,
taq.csv,data\raw\taq\taq.csv,TTime_4pm,29,str,1000,0,0.0,148,13:07:16,15:59:59,True,millisecond,timestamp,
taq.csv,data\raw\taq\taq.csv,Price_4pm,30,float64,1000,0,0.0,259,22.75,88.375,False,,trade_price,
taq.csv,data\raw\taq\taq.csv,CPrc,31,float64,1000,0,0.0,257,22.75,88.375,False,,,
taq.csv,data\raw\taq\taq.csv,CTime,32,str,1000,0,0.0,283,12:10:46,16:06:41,True,millisecond,timestamp,
taq.csv,data\raw\taq\taq.csv,CPrc2,33,float64,1000,0,0.0,257,22.75,88.375,False,,,
taq.csv,data\raw\taq\taq.csv,CTime2,34,str,1000,0,0.0,283,12:10:46,16:06:41,True,millisecond,timestamp,
taq.csv,data\raw\taq\taq.csv,Ret_pre_t,35,float64,38,962,0.962,29,-0.022884294,0.0209431738,False,,,
taq.csv,data\raw\taq\taq.csv,Ret_mkt_t,36,float64,1000,0,0.0,742,-0.074107972,0.1035406789,False,,,
taq.csv,data\raw\taq\taq.csv,Ret_post_t,37,float64,142,858,0.858,41,-0.025398191,0.0264916154,False,,,
taq.csv,data\raw\taq\taq.csv,MFCount,38,int64,1000,0,0.0,137,0,4799,False,,,
taq.csv,data\raw\taq\taq.csv,NumTrades_t,39,int64,1000,0,0.0,707,118,11908,False,,,
taq.csv,data\raw\taq\taq.csv,NumTrades_m,40,int64,1000,0,0.0,733,114,11821,False,,,
taq.csv,data\raw\taq\taq.csv,SumVolume_t,41,int64,1000,0,0.0,972,105900,19138600,False,,trade_size,
taq.csv,data\raw\taq\taq.csv,SumVolume_m,42,int64,1000,0,0.0,979,101300,18895900,False,,trade_size,
taq.csv,data\raw\taq\taq.csv,SumValue_b,43,float64,1000,0,0.0,38,0.0,472500.0,False,,,
taq.csv,data\raw\taq\taq.csv,SumValue_m,44,float64,1000,0,0.0,1000,4336862.5,628687775.0,False,,,
taq.csv,data\raw\taq\taq.csv,NumISOTrades_m,45,int64,1000,0,0.0,1,0,0,False,,,
taq.csv,data\raw\taq\taq.csv,SumISOVolume_m,46,int64,1000,0,0.0,1,0,0,False,,trade_size,
taq.csv,data\raw\taq\taq.csv,SumISOValue_m,47,int64,1000,0,0.0,1,0,0,False,,,
taq.csv,data\raw\taq\taq.csv,NumOddLotTrades_m,48,int64,1000,0,0.0,1,0,0,False,,,
taq.csv,data\raw\taq\taq.csv,SumOddLotVolume_m,49,int64,1000,0,0.0,1,0,0,False,,trade_size,
taq.csv,data\raw\taq\taq.csv,SumOddLotValue_m,50,int64,1000,0,0.0,1,0,0,False,,,
