source_file,source_relative_path,sample_row_number,date,symbol,QTime_1pm,BB_1pm,BO_1pm,MID_1pm,QTime_c1,BB_c1,BO_c1,Mid_c1,QTime_4pm,BB_4pm,BO_4pm,Mid_4pm,LQTime,LBB,LBO,LMid,OTime,OPrice,DTime,DPrice,Vol_oc,Value_oc,LTTime,LPrice,TTime_1pm,Price_1pm,TTime_4pm,Price_4pm,CPrc,CTime,CPrc2,CTime2,Ret_pre_t,Ret_mkt_t,Ret_post_t,MFCount,NumTrades_t,NumTrades_m,SumVolume_t,SumVolume_m,SumValue_b,SumValue_m,NumISOTrades_m,SumISOVolume_m,SumISOValue_m,NumOddLotTrades_m,SumOddLotVolume_m,SumOddLotValue_m,NumMixedLotTrades_m,SumMixedLotVolume_m,SumMixedLotValue_m,BuyNumTrades_LR1,SellNumTrades_LR1,BuyVol_LR1,SellVol_LR1,BuyDollar_LR1,SellDollar_LR1,ESpreadDollar_Avg1,ESpreadPct_Avg1,RSpreadDollar_Avg1,RSpreadPct_Avg1,PriceImpactDollar_Avg1,PriceImpactPct_Avg1,ESpreadDollar_VW1,ESpreadDollar_SW1,ESpreadPct_VW1,ESpreadPct_SW1,RSpreadDollar_SW1,RSpreadDollar_VW1,RSpreadPct_SW1,RSpreadPct_VW1,PriceImpactDollar_VW1,PriceImpactDollar_SW1,PriceImpactPct_VW1,PriceImpactPct_SW1,IVol_t_m,IVol_q_m,NumExtremeOfr_m,NumExtremeBid_m,QSpreadDollar_EW_m,QSpreadPct_EW_m,QSpreadDollar_TW_m,QSpreadPct_TW_m,TOfrDollar_TW_m,TBidDollar_TW_m,TOfrShares_TW_m,TBidShares_TW_m,BOfrDollar_TW_m,BBidDollar_TW_m,BOfrShares_TW_m,BBidShares_TW_m,VarianceRatio1,VarianceRatio2,TSignSqrtDVol1,TSignSqrtDVol2,NObsUsed1,NObsUsed2,NumTimeUnitsWithTrade1,NumTimeUnitsWithTrade2,HIndex1
taq.csv,data\raw\taq\taq.csv,1,06/04/1993,AAPL,12:03:44,49.25,49.5,49.375,15:56:23,48.75,49.0,48.875,15:56:23,48.75,49.0,48.875,15:56:23,48.75,49.0,48.875,9:30:06,50.0,15:59:59,49.0,1484800,73357750.0,16:26:12,48.875,12:59:57,49.5,15:59:59,49.0,49.0,15:59:59,49.0,15:59:59,,-0.020202707,,12,1032,1019,1503300,1484800,0.0,73357750.0,0,0,0,0,0,0,0,0,0,527,505,651000,852300,32242250.0,42018362.5,0.2040939922,0.0041327556,0.160125969,0.0032430455,0.0439680233,0.0008897101,0.2279948539,0.2277156921,0.0046122223,0.0046068786,0.1747738309,0.1752333084,0.0035334201,0.0035424823,0.0527615455,0.0529418612,2.17306e-05,0.0528434422,9.5388327e-06,4.1488877e-06,,,0.25,0.0050789394,0.25,0.0050789394,49347.826087,49097.826087,1000.0,1000.0,49347.826087,49097.826087,1000.0,1000.0,0.1643831037,0.2057281433,6.5763745e-07,5.9421655e-07,78,82,13,78,0.0957944106
taq.csv,data\raw\taq\taq.csv,2,07/04/1993,AAPL,12:26:42,48.75,49.0,48.875,15:55:10,50.25,50.5,50.375,15:55:10,50.25,50.5,50.375,15:55:10,50.25,50.5,50.375,9:30:10,49.0,15:59:58,50.5,1377300,67990562.5,16:26:31,50.75,12:59:36,48.875,15:59:58,50.5,50.5,15:59:58,50.5,15:59:58,,0.0301530382,,23,922,901,1454000,1377300,0.0,67990562.5,0,0,0,0,0,0,0,0,0,560,362,816300,637700,40470150.0,31402987.5,0.2521691974,0.0051124212,0.1849240781,0.0037582517,0.0672451193,0.0013541695,0.2425165452,0.2423314993,0.0049056883,0.0049027945,0.1695323246,0.1693561711,0.0034379655,0.0034338211,0.0731603741,0.0727991747,2.96336e-05,0.0727563338,1.66082e-05,5.6482766e-06,,,0.34375,0.0069361772,0.34375,0.0069361772,49750.0,49406.25,1000.0,1000.0,49750.0,49406.25,1000.0,1000.0,0.004878209,0.1133262606,8.182826e-07,7.5854666e-07,78,84,13,78,0.1173508842
taq.csv,data\raw\taq\taq.csv,3,08/04/1993,AAPL,12:48:23,49.25,49.5,49.375,14:53:33,49.5,49.75,49.625,14:53:33,49.5,49.75,49.625,14:53:33,49.5,49.75,49.625,9:30:06,50.0,15:59:35,49.75,1449700,72228875.0,17:00:19,50.25,12:59:56,49.5,15:59:35,49.75,49.75,15:59:35,49.75,15:59:35,,-0.005012542,0.0100000833,22,776,769,1459200,1449700,0.0,72228875.0,0,0,0,0,0,0,0,0,0,401,375,700800,758400,34983112.5,37716750.0,0.2319587629,0.0046625858,0.1791237113,0.0036011008,0.0528350515,0.001061485,0.2405682421,0.2404057018,0.0048263793,0.0048232744,0.1872601425,0.1876902621,0.0037553259,0.0037638538,0.05287798,0.0531455592,2.14354e-05,0.0529368578,1.32906e-05,6.1903828e-06,,,0.3190789474,0.0064156748,0.3190789474,0.0064156748,49881.578947,49569.078947,1000.0,1000.0,49881.578947,49569.078947,1000.0,1000.0,0.1590614635,0.0303142674,3.3933118e-07,3.3206207e-07,78,79,13,78,0.1128037054
taq.csv,data\raw\taq\taq.csv,4,12/04/1993,AAPL,11:46:35,50.0,50.25,50.125,15:50:31,50.0,50.5,50.25,15:50:31,50.0,50.5,50.25,15:50:31,50.0,50.5,50.25,9:30:07,49.5,15:59:44,50.0,702100,35270500.0,16:35:53,50.25,12:59:25,50.125,15:59:44,50.0,50.0,15:59:44,50.0,15:59:44,,0.0100503359,,15,661,641,830800,702100,0.0,35270500.0,0,0,0,0,0,0,0,0,0,362,299,368400,462400,18512162.5,23193887.5,0.2647503782,0.0052775591,0.1868381241,0.003728264,0.0779122542,0.0015492951,0.2785184194,0.2788577275,0.0055496255,0.0055565123,0.2080524795,0.2075638606,0.0041469827,0.0041371628,0.0709545588,0.070805248,2.80784e-05,0.0709054405,1.724e-05,6.2382575e-06,,,0.3,0.0059655181,0.3,0.0059655181,50450.0,50150.0,1000.0,1000.0,50450.0,50150.0,1000.0,1000.0,0.1029160851,0.4801461632,1.2427063e-06,1.232305e-06,76,81,13,76,0.1251451086
taq.csv,data\raw\taq\taq.csv,5,13/04/1993,AAPL,12:28:16,50.75,51.0,50.875,15:59:18,48.5,48.75,48.625,15:59:18,48.5,48.75,48.625,15:59:18,48.5,48.75,48.625,9:30:03,50.5,15:59:57,48.25,1402900,70449200.0,16:23:53,49.125,12:58:26,50.75,15:59:57,48.25,48.25,15:59:57,48.25,15:59:57,,-0.045577508,,50,1037,987,1468600,1402900,0.0,70449200.0,0,0,0,0,0,0,0,0,0,532,505,649200,819400,32724925.0,40913662.5,0.2404773385,0.0047963703,0.2021456123,0.004030322,0.0383317261,0.0007660483,0.2373502972,0.2375136184,0.004737534,0.0047418913,0.2186606292,0.2193484836,0.0043522188,0.0043650361,0.0180018136,0.0188529892,7.7713755e-06,0.0186778017,1.29672e-05,4.9747548e-06,,,0.3051470588,0.0060930079,0.2992424242,0.0059730889,50250.0,49950.757576,1000.0,1000.0,50250.0,49950.757576,1000.0,1000.0,0.2118603849,0.2297725199,8.3516737e-07,7.3228144e-07,78,83,13,78,0.1065996947
taq.csv,data\raw\taq\taq.csv,6,14/04/1993,AAPL,12:07:03,48.0,48.25,48.125,14:18:15,48.5,48.75,48.625,14:18:15,48.5,48.75,48.625,14:18:15,48.5,48.75,48.625,9:30:03,48.25,15:59:30,48.75,1424100,68671012.5,16:35:38,48.5,12:59:04,48.0,15:59:30,48.75,48.75,15:59:30,48.75,15:59:30,,0.0103093697,,47,1087,1065,1518400,1424100,0.0,68671012.5,0,0,0,0,0,0,0,0,0,675,412,782100,736300,37793125.0,35457650.0,0.2332106716,0.0048404441,0.2049218031,0.0042530382,0.0282888684,0.0005874058,0.2001381982,0.2001942835,0.0041507024,0.0041520168,0.1492031085,0.1491970989,0.0030935364,0.0030932831,0.0509410993,0.0509911749,2.1941e-05,0.0510121086,1.2976e-05,6.2313671e-06,,,0.3088235294,0.0064119395,0.3088235294,0.0064119395,48338.235294,48029.411765,1000.0,1000.0,48338.235294,48029.411765,1000.0,1000.0,0.2672723961,0.0864709576,9.9339103e-07,9.8334371e-07,78,84,13,78,0.1114496584
taq.csv,data\raw\taq\taq.csv,7,15/04/1993,AAPL,12:40:20,47.5,47.75,47.625,15:59:22,47.0,47.25,47.125,15:59:22,47.0,47.25,47.125,15:59:22,47.0,47.25,47.125,9:30:03,48.25,15:59:53,47.0,1835000,87419037.5,17:13:00,47.25,12:59:21,47.75,15:59:53,47.0,47.0,15:59:53,47.0,15:59:53,,-0.026248226,0.0053050522,60,1448,1372,1952700,1835000,0.0,87419037.5,0,0,0,0,0,0,0,0,0,837,611,949600,1003100,45290762.5,47667137.5,0.2481008287,0.0052194369,0.1723066298,0.0036230927,0.0757941989,0.0015963442,0.2281432643,0.2284529114,0.004798021,0.0048048075,0.1679341425,0.1677918176,0.0035303167,0.0035271194,0.0603514467,0.0605187689,2.67723e-05,0.0605010235,1.33943e-05,7.2321997e-06,,,0.3305084746,0.0069410609,0.3305084746,0.0069410609,47805.084746,47474.576271,1000.0,1000.0,47805.084746,47474.576271,1000.0,1000.0,0.0638650737,0.2126761864,7.7104601e-07,7.7092404e-07,78,86,13,78,0.1206878604
taq.csv,data\raw\taq\taq.csv,8,16/04/1993,AAPL,11:32:22,47.75,48.0,47.875,15:21:38,48.0,48.25,48.125,15:21:38,48.0,48.25,48.125,15:21:38,48.0,48.25,48.125,9:30:02,48.25,15:59:56,48.25,6093800,293522262.5,17:04:04,48.0,12:59:43,47.75,15:59:56,48.25,48.25,15:59:56,48.25,15:59:56,0.0209431738,0.0,-0.005194817,63,2182,2157,6132100,6093800,472500.0,293522262.5,0,0,0,0,0,0,0,0,0,1420,761,2906400,3215700,140243700.0,154643650.0,0.2173314993,0.0045131587,0.1858092618,0.0038608508,0.0315222375,0.0006523078,0.2368196689,0.2367174377,0.0049143547,0.0049123553,0.2057207156,0.2057579297,0.0042713403,0.0042720131,0.0310617392,0.0309967222,1.33084e-05,0.0309391407,1.10346e-05,6.5866909e-06,,,0.2980769231,0.0061846778,0.2980769231,0.0061846778,48326.923077,48028.846154,1000.0,1000.0,48326.923077,48028.846154,1000.0,1000.0,0.1143795752,0.0793908101,2.2750376e-08,2.2454597e-08,78,84,13,78,0.1623296621
taq.csv,data\raw\taq\taq.csv,9,19/04/1993,AAPL,12:01:20,48.25,48.5,48.375,15:40:50,48.25,48.5,48.375,15:40:50,48.25,48.5,48.375,15:40:50,48.25,48.5,48.375,9:30:10,48.5,15:59:56,48.375,1892400,92003237.5,16:24:48,48.5,12:58:59,48.5,15:59:56,48.375,48.375,15:59:56,48.375,15:59:56,,-0.002580647,,22,1012,993,2034500,1892400,0.0,92003237.5,0,0,0,0,0,0,0,0,0,612,400,846300,1188200,41225787.5,57636737.5,0.209486166,0.0043089074,0.1803359684,0.0037100702,0.0291501976,0.0005988371,0.209981076,0.2099655935,0.0043202008,0.0043199635,0.1752764807,0.1752149007,0.0036074192,0.0036060866,0.0347661753,0.0346891128,1.46635e-05,0.0347009727,1.162e-05,7.0313704e-06,,,0.265625,0.00545462,0.265625,0.00545462,48812.5,48546.875,1000.0,1000.0,48812.5,48546.875,1000.0,1000.0,0.1309877317,0.2361796797,2.5643247e-07,2.5916249e-07,78,83,13,78,0.1014087014
taq.csv,data\raw\taq\taq.csv,10,20/04/1993,AAPL,12:05:15,48.5,48.75,48.625,15:53:36,50.0,50.25,50.125,15:53:36,50.0,50.25,50.125,15:53:36,50.0,50.25,50.125,9:30:26,48.75,15:59:49,50.0,2086500,102096112.5,16:38:09,48.75,12:59:50,48.625,15:59:49,50.0,50.0,15:59:49,50.0,15:59:49,,0.025317808,,21,1055,1037,2143300,2086500,0.0,102096112.5,0,0,0,0,0,0,0,0,0,622,433,1054500,1088800,51700087.5,53191162.5,0.2170616114,0.004426786,0.1678909953,0.0034310604,0.0491706161,0.0009957256,0.2284893431,0.2285494331,0.004656988,0.0046586064,0.2047893435,0.2044099246,0.0041769992,0.0041690303,0.0240794186,0.0237600896,9.8409423e-06,0.0238802261,1.14377e-05,4.8928561e-06,,,0.3060344828,0.0062325444,0.3060344828,0.0062325444,49232.758621,48926.724138,1000.0,1000.0,49232.758621,48926.724138,1000.0,1000.0,0.2981454218,0.2576078076,5.4503634e-07,5.3496869e-07,78,82,13,78,0.0969570451
