column,chunks_processed,rows_observed,non_null_count,parse_failure_count,min_timestamp,max_timestamp,parse_failure_rate,timestamp_precision_observed,time_character_observed
CTime,2,122441,122440,0,2026-09-18 09:25:42.000000000,2026-09-18 18:11:25.000000000,0.0,millisecond,TIME_ONLY
CTime2,2,122441,122440,0,2026-09-18 09:25:42.000000000,2026-09-18 18:11:25.000000000,0.0,millisecond,TIME_ONLY
DTime,2,122441,122439,0,2026-09-18 09:30:03.000000000,2026-09-18 15:59:59.000000000,0.0,millisecond,TIME_ONLY
LQTime,2,122441,122441,0,2026-09-18 07:30:57.000000000,2026-09-18 20:03:45.000000000,0.0,millisecond,TIME_ONLY
LTTime,2,122441,114459,0,2026-09-18 13:00:09.000000000,2026-09-18 20:29:06.000000000,0.0,millisecond,TIME_ONLY
NumTimeUnitsWithTrade1,2,122441,121939,0,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000013,0.0,nanosecond_or_finer,DATETIME_OR_DATE_PARSEABLE
NumTimeUnitsWithTrade2,2,122441,121939,0,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000078,0.0,nanosecond_or_finer,DATETIME_OR_DATE_PARSEABLE
OTime,2,122441,122441,0,2026-09-18 09:30:00.000000000,2026-09-18 18:13:40.000000000,0.0,millisecond,TIME_ONLY
QTime_1pm,2,122441,122438,0,2026-09-18 07:30:57.000000000,2026-09-18 13:00:00.000000000,0.0,millisecond,TIME_ONLY
QTime_4pm,2,122441,122440,0,2026-09-18 07:30:57.000000000,2026-09-18 16:00:00.000000000,0.0,millisecond,TIME_ONLY
QTime_c1,2,122441,122440,0,2026-09-18 07:30:57.000000000,2026-09-18 15:59:59.000000000,0.0,millisecond,TIME_ONLY
TTime_1pm,2,122441,122293,0,2026-09-18 08:27:47.000000000,2026-09-18 12:59:59.000000000,0.0,millisecond,TIME_ONLY
TTime_4pm,2,122441,122439,0,2026-09-18 09:30:03.000000000,2026-09-18 15:59:59.000000000,0.0,millisecond,TIME_ONLY
