column,initial_semantic_class,classification_confidence,classification_reason,rows_observed,missing_count,non_missing_count,observed_value_form,time_only_count,datetime_count,numeric_count,sample_values
QTime_1pm,TIMESTAMP_OR_TIME,HIGH,Column was identified from the actual TAQ schema as an event/snapshot time field.,122441,3,122438,TIME_ONLY,122438,0,0,12:03:44 | 12:26:42 | 12:48:23 | 11:46:35 | 12:28:16 | 12:07:03 | 12:40:20 | 11:32:22 | 12:01:20 | 12:05:15
QTime_c1,TIMESTAMP_OR_TIME,HIGH,Column was identified from the actual TAQ schema as an event/snapshot time field.,122441,1,122440,TIME_ONLY,122440,0,0,15:56:23 | 15:55:10 | 14:53:33 | 15:50:31 | 15:59:18 | 14:18:15 | 15:59:22 | 15:21:38 | 15:40:50 | 15:53:36
QTime_4pm,TIMESTAMP_OR_TIME,HIGH,Column was identified from the actual TAQ schema as an event/snapshot time field.,122441,1,122440,TIME_ONLY,122440,0,0,15:56:23 | 15:55:10 | 14:53:33 | 15:50:31 | 15:59:18 | 14:18:15 | 15:59:22 | 15:21:38 | 15:40:50 | 15:53:36
LQTime,TIMESTAMP_OR_TIME,HIGH,Column was identified from the actual TAQ schema as an event/snapshot time field.,122441,0,122441,TIME_ONLY,122441,0,0,15:56:23 | 15:55:10 | 14:53:33 | 15:50:31 | 15:59:18 | 14:18:15 | 15:59:22 | 15:21:38 | 15:40:50 | 15:53:36
OTime,TIMESTAMP_OR_TIME,HIGH,Column was identified from the actual TAQ schema as an event/snapshot time field.,122441,0,122441,TIME_ONLY,122441,0,0,9:30:06 | 9:30:10 | 9:30:07 | 9:30:03 | 9:30:02 | 9:30:26 | 9:30:05 | 9:30:14 | 9:30:18 | 9:30:04
DTime,TIMESTAMP_OR_TIME,HIGH,Column was identified from the actual TAQ schema as an event/snapshot time field.,122441,2,122439,TIME_ONLY,122439,0,0,15:59:59 | 15:59:58 | 15:59:35 | 15:59:44 | 15:59:57 | 15:59:30 | 15:59:53 | 15:59:56 | 15:59:49 | 15:59:14
LTTime,TIMESTAMP_OR_TIME,HIGH,Column was identified from the actual TAQ schema as an event/snapshot time field.,122441,7982,114459,TIME_ONLY,114459,0,0,16:26:12 | 16:26:31 | 17:00:19 | 16:35:53 | 16:23:53 | 16:35:38 | 17:13:00 | 17:04:04 | 16:24:48 | 16:38:09
TTime_1pm,TIMESTAMP_OR_TIME,HIGH,Column was identified from the actual TAQ schema as an event/snapshot time field.,122441,148,122293,TIME_ONLY,122293,0,0,12:59:57 | 12:59:36 | 12:59:56 | 12:59:25 | 12:58:26 | 12:59:04 | 12:59:21 | 12:59:43 | 12:58:59 | 12:59:50
TTime_4pm,TIMESTAMP_OR_TIME,HIGH,Column was identified from the actual TAQ schema as an event/snapshot time field.,122441,2,122439,TIME_ONLY,122439,0,0,15:59:59 | 15:59:58 | 15:59:35 | 15:59:44 | 15:59:57 | 15:59:30 | 15:59:53 | 15:59:56 | 15:59:49 | 15:59:14
CTime,TIMESTAMP_OR_TIME,HIGH,Column was identified from the actual TAQ schema as an event/snapshot time field.,122441,1,122440,TIME_ONLY,122440,0,0,15:59:59 | 15:59:58 | 15:59:35 | 15:59:44 | 15:59:57 | 15:59:30 | 15:59:53 | 15:59:56 | 15:59:49 | 15:59:14
CTime2,TIMESTAMP_OR_TIME,HIGH,Column was identified from the actual TAQ schema as an event/snapshot time field.,122441,1,122440,TIME_ONLY,122440,0,0,15:59:59 | 15:59:58 | 15:59:35 | 15:59:44 | 15:59:57 | 15:59:30 | 15:59:53 | 15:59:56 | 15:59:49 | 15:59:14
NumTimeUnitsWithTrade1,OBSERVATION_COUNT,HIGH,Column name begins with NumTimeUnits and observed values are small numeric counts.,122441,502,121939,NUMERIC,0,0,121939,13.0 | 7.0 | 12.0 | 11.0 | 4.0 | 2.0 | 8.0 | 3.0 | 6.0 | 9.0
NumTimeUnitsWithTrade2,OBSERVATION_COUNT,HIGH,Column name begins with NumTimeUnits and observed values are small numeric counts.,122441,502,121939,NUMERIC,0,0,121939,78.0 | 76.0 | 77.0 | 75.0 | 41.0 | 73.0 | 74.0 | 72.0 | 71.0 | 70.0
