field,rows,missing_count,missing_rate,zero_count,negative_count,positive_count,min,max,median,mean
OPrice,122441,0,0.0,0,0,122441,0.14,770.96,48.125,67.10435221102409
DPrice,122441,2,1.633439779158942e-05,0,0,122439,0.15,768.28,48.15,67.10642250447161
LPrice,122441,7982,0.06519058158623336,0,0,114459,0.23,768.0,49.5,69.56776691556584
Price_1pm,122441,148,0.001208745436577617,0,0,122293,0.14,769.97,48.2,67.18270392491802
Price_4pm,122441,2,1.633439779158942e-05,0,0,122439,0.15,768.28,48.15,67.10616397838923
NumTrades_t,122441,0,0.0,0,0,122441,1.0,2293250.0,8134.0,40415.59368185493
NumTrades_m,122441,0,0.0,2,0,122439,0.0,2246056.0,8081.0,39796.889318120564
NumISOTrades_m,122441,0,0.0,82518,0,39923,0.0,1271851.0,0.0,14630.011826104
NumOddLotTrades_m,122441,0,0.0,115603,0,6838,0.0,1709.0,0.0,2.0378958028764873
NumMixedLotTrades_m,122441,0,0.0,76208,0,46233,0.0,317405.0,0.0,2122.841923865372
SumVolume_t,122441,0,0.0,0,0,122441,100.0,3775415184.0,6370000.0,20570573.260590814
SumVolume_m,122441,0,0.0,2,0,122439,0.0,2764707616.0,5961500.0,18965394.865943596
SumISOVolume_m,122441,0,0.0,82518,0,39923,0.0,603644803.0,0.0,4920812.57299434
SumOddLotVolume_m,122441,0,0.0,116225,0,6216,0.0,54356.0,0.0,90.28729755555737
SumMixedLotVolume_m,122441,0,0.0,76208,0,46233,0.0,465289596.0,0.0,1843882.0339102098
BuyVol_LR1,122441,0,0.0,348,0,122093,0.0,2142735423.0,3229812.0,10356838.929827427
SellVol_LR1,122441,0,0.0,176,0,122265,0.0,1711995480.0,2999100.0,10162886.010307005
SumValue_b,122441,0,0.0,56983,0,65458,0.0,7746480753.0,19922.0,17560797.614704072
SumValue_m,122441,0,0.0,2,0,122439,0.0,80777956912.0,326187645.51,930847463.2861772
SumISOValue_m,122441,0,0.0,82518,0,39923,0.0,47081291885.0,0.0,278613191.02287596
SumOddLotValue_m,122441,0,0.0,116225,0,6216,0.0,3520881.5,0.0,3761.9889580843023
SumMixedLotValue_m,122441,0,0.0,76208,0,46233,0.0,11251431634.0,0.0,82967641.48031427
BuyDollar_LR1,122441,0,0.0,348,0,122093,0.0,43931821543.0,176598334.13,510547144.3730284
SellDollar_LR1,122441,0,0.0,176,0,122265,0.0,47353450663.0,163209840.47,501274748.3320234
BuyNumTrades_LR1,122441,0,0.0,348,0,122093,0.0,1134874.0,4192.0,20205.159636069617
SellNumTrades_LR1,122441,0,0.0,176,0,122265,0.0,1158376.0,3915.0,20194.7855048554
BuyVol_LR1,122441,0,0.0,348,0,122093,0.0,2142735423.0,3229812.0,10356838.929827427
SellVol_LR1,122441,0,0.0,176,0,122265,0.0,1711995480.0,2999100.0,10162886.010307005
BuyDollar_LR1,122441,0,0.0,348,0,122093,0.0,43931821543.0,176598334.13,510547144.3730284
SellDollar_LR1,122441,0,0.0,176,0,122265,0.0,47353450663.0,163209840.47,501274748.3320234
